"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","init_locations","moves","final_locations","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","question_order","15","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","5116","AD4EC7E7D2194A7FBC94F4966EA2D556","f97a757d-32a4-4be1-afb5-4bce9b8d9f0c","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","46322","AD4EC7E7D2194A7FBC94F4966EA2D556","f97a757d-32a4-4be1-afb5-4bce9b8d9f0c","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","consent","41202","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 30 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 30 minutes, your payment will amount to $7.50.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","58225","AD4EC7E7D2194A7FBC94F4966EA2D556","f97a757d-32a4-4be1-afb5-4bce9b8d9f0c","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","11902","","","[{""page_index"":0,""viewing_time"":11901}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","2.0.0","77071","AD4EC7E7D2194A7FBC94F4966EA2D556","f97a757d-32a4-4be1-afb5-4bce9b8d9f0c","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","18845","","","[{""page_index"":0,""viewing_time"":18845}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-button-response","4","2.0.0","177687","AD4EC7E7D2194A7FBC94F4966EA2D556","f97a757d-32a4-4be1-afb5-4bce9b8d9f0c","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","example_videos","100607","[""video/example-video-circles.mp4""]","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","free-sort","5","2.0.1","290424","AD4EC7E7D2194A7FBC94F4966EA2D556","f97a757d-32a4-4be1-afb5-4bce9b8d9f0c","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","112734","","","","[{""src"":""images/items-circles/img15.png"",""x"":610.4166666666667,""y"":0},{""src"":""images/items-circles/img4.png"",""x"":-60.41666666666666,""y"":550},{""src"":""images/items-circles/img11.png"",""x"":610.4166666666667,""y"":183.33333333333334},{""src"":""images/items-circles/img14.png"",""x"":-60.41666666666666,""y"":366.6666666666667},{""src"":""images/items-circles/img3.png"",""x"":610.4166666666667,""y"":366.6666666666667},{""src"":""images/items-circles/img13.png"",""x"":-60.41666666666666,""y"":183.33333333333334},{""src"":""images/items-circles/img6.png"",""x"":610.4166666666667,""y"":550},{""src"":""images/items-circles/img9.png"",""x"":-60.41666666666666,""y"":0},{""src"":""images/items-circles/img8.png"",""x"":793.75,""y"":0},{""src"":""images/items-circles/img1.png"",""x"":-243.75,""y"":550},{""src"":""images/items-circles/img5.png"",""x"":793.75,""y"":183.33333333333334},{""src"":""images/items-circles/img10.png"",""x"":-243.75,""y"":366.6666666666667},{""src"":""images/items-circles/img7.png"",""x"":793.75,""y"":366.6666666666667},{""src"":""images/items-circles/img2.png"",""x"":-243.75,""y"":183.33333333333334},{""src"":""images/items-circles/img12.png"",""x"":793.75,""y"":550}]","[{""src"":""images/items-circles/img10.png"",""x"":79,""y"":207},{""src"":""images/items-circles/img11.png"",""x"":130,""y"":251},{""src"":""images/items-circles/img15.png"",""x"":352,""y"":157},{""src"":""images/items-circles/img6.png"",""x"":515,""y"":408},{""src"":""images/items-circles/img6.png"",""x"":401,""y"":142},{""src"":""images/items-circles/img15.png"",""x"":384,""y"":188},{""src"":""images/items-circles/img8.png"",""x"":187,""y"":375},{""src"":""images/items-circles/img8.png"",""x"":130,""y"":448},{""src"":""images/items-circles/img2.png"",""x"":166,""y"":446},{""src"":""images/items-circles/img9.png"",""x"":174,""y"":164},{""src"":""images/items-circles/img11.png"",""x"":152,""y"":205},{""src"":""images/items-circles/img7.png"",""x"":388,""y"":373},{""src"":""images/items-circles/img5.png"",""x"":406,""y"":426},{""src"":""images/items-circles/img3.png"",""x"":502,""y"":252},{""src"":""images/items-circles/img12.png"",""x"":373,""y"":351},{""src"":""images/items-circles/img12.png"",""x"":359,""y"":222},{""src"":""images/items-circles/img12.png"",""x"":352,""y"":184},{""src"":""images/items-circles/img13.png"",""x"":144,""y"":417},{""src"":""images/items-circles/img1.png"",""x"":129,""y"":217},{""src"":""images/items-circles/img4.png"",""x"":488,""y"":290},{""src"":""images/items-circles/img14.png"",""x"":367,""y"":199}]","[{""src"":""images/items-circles/img15.png"",""x"":383,""y"":187},{""src"":""images/items-circles/img4.png"",""x"":488,""y"":290},{""src"":""images/items-circles/img11.png"",""x"":151,""y"":204},{""src"":""images/items-circles/img14.png"",""x"":367,""y"":199},{""src"":""images/items-circles/img3.png"",""x"":501,""y"":251},{""src"":""images/items-circles/img13.png"",""x"":144,""y"":417},{""src"":""images/items-circles/img6.png"",""x"":401,""y"":141},{""src"":""images/items-circles/img9.png"",""x"":174,""y"":164},{""src"":""images/items-circles/img8.png"",""x"":130,""y"":447},{""src"":""images/items-circles/img1.png"",""x"":128,""y"":217},{""src"":""images/items-circles/img5.png"",""x"":405,""y"":426},{""src"":""images/items-circles/img10.png"",""x"":79,""y"":207},{""src"":""images/items-circles/img7.png"",""x"":387,""y"":372},{""src"":""images/items-circles/img2.png"",""x"":166,""y"":445},{""src"":""images/items-circles/img12.png"",""x"":352,""y"":183}]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","2.0.0","362338","AD4EC7E7D2194A7FBC94F4966EA2D556","f97a757d-32a4-4be1-afb5-4bce9b8d9f0c","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","71911","","","[{""page_index"":0,""viewing_time"":71910}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-slider","7","null","636308","AD4EC7E7D2194A7FBC94F4966EA2D556","f97a757d-32a4-4be1-afb5-4bce9b8d9f0c","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","273963.7000000477","","{""Q0"":""52"",""Q1"":""23"",""Q2"":""25"",""Q3"":""98"",""Q4"":""21"",""Q5"":""24"",""Q6"":""73"",""Q7"":""73"",""Q8"":""77"",""Q9"":""73"",""Q10"":""25"",""Q11"":""25"",""Q12"":""26"",""Q13"":""22"",""Q14"":""25""}","","","","","{""itemA"":""choose what to do"",""itemB"":""hear something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel sick"",""itemB"":""hear something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel scared"",""itemB"":""hear something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""hear something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""see something"",""itemB"":""hear something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""hear something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""hear something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""hear something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""hear something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""hear something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel tired"",""itemB"":""hear something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""sit down"",""itemB"":""hear something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel hungry"",""itemB"":""hear something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""hear something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel pain"",""itemB"":""hear something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
"","","","","","survey-slider","8","null","686759","AD4EC7E7D2194A7FBC94F4966EA2D556","f97a757d-32a4-4be1-afb5-4bce9b8d9f0c","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","50447","","{""Q0"":""75"",""Q1"":""74"",""Q2"":""24"",""Q3"":""74"",""Q4"":""98"",""Q5"":""22"",""Q6"":""88"",""Q7"":""29"",""Q8"":""26"",""Q9"":""99"",""Q10"":""73"",""Q11"":""50"",""Q12"":""66"",""Q13"":""74"",""Q14"":""24""}","","","","","{""itemA"":""feel tired"",""itemB"":""feel pain"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""feel pain"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""feel pain"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""feel pain"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel pain"",""itemB"":""feel pain"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""feel pain"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""feel pain"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""sit down"",""itemB"":""feel pain"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel hungry"",""itemB"":""feel pain"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel sick"",""itemB"":""feel pain"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""feel pain"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""feel pain"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""see something"",""itemB"":""feel pain"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel scared"",""itemB"":""feel pain"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""feel pain"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
"","","","","","survey-slider","9","null","794940","AD4EC7E7D2194A7FBC94F4966EA2D556","f97a757d-32a4-4be1-afb5-4bce9b8d9f0c","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","108176.89999997616","","{""Q0"":""71"",""Q1"":""25"",""Q2"":""66"",""Q3"":""74"",""Q4"":""75"",""Q5"":""74"",""Q6"":""95"",""Q7"":""100"",""Q8"":""63"",""Q9"":""60"",""Q10"":""76"",""Q11"":""96"",""Q12"":""94"",""Q13"":""100"",""Q14"":""66""}","","","","","{""itemA"":""choose what to do"",""itemB"":""think about something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""think about something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""sit down"",""itemB"":""think about something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel pain"",""itemB"":""think about something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel sick"",""itemB"":""think about something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel hungry"",""itemB"":""think about something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""see something"",""itemB"":""think about something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""think about something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""think about something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""think about something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel tired"",""itemB"":""think about something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel scared"",""itemB"":""think about something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""think about something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""think about something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""think about something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
