"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","question_order","init_locations","moves","final_locations","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","908","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","45916","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","consent","45003","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 30 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 30 minutes, your payment will amount to $7.50.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","59464","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","13545","","","[{""page_index"":0,""viewing_time"":13545}]","","","","","","","","",""
"","","","","","survey-slider","3","null","134839","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","75358.70000004768","","{""Q0"":""0"",""Q1"":""75"",""Q2"":""100"",""Q3"":""25"",""Q4"":""64"",""Q5"":""75"",""Q6"":""88"",""Q7"":""100"",""Q8"":""62"",""Q9"":""83"",""Q10"":""14"",""Q11"":""86"",""Q12"":""80"",""Q13"":""26""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","","","","","","","",""
"","","","","","survey-slider","4","null","191610","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","56758.299999952316","","{""Q0"":""75"",""Q1"":""100"",""Q2"":""75"",""Q3"":""100"",""Q4"":""60"",""Q5"":""25"",""Q6"":""86"",""Q7"":""25"",""Q8"":""100"",""Q9"":""100"",""Q10"":""100"",""Q11"":""100"",""Q12"":""85"",""Q13"":""89""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","","","","","","","",""
"","","","","","survey-slider","5","null","253850","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","62227.40000003576","","{""Q0"":""14"",""Q1"":""100"",""Q2"":""11"",""Q3"":""76"",""Q4"":""89"",""Q5"":""100"",""Q6"":""58"",""Q7"":""26"",""Q8"":""100"",""Q9"":""75"",""Q10"":""63"",""Q11"":""38"",""Q12"":""100"",""Q13"":""100""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","","","","","","","",""
"","","","","","survey-slider","6","null","317193","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","63329.89999997616","","{""Q0"":""100"",""Q1"":""100"",""Q2"":""100"",""Q3"":""100"",""Q4"":""100"",""Q5"":""25"",""Q6"":""100"",""Q7"":""75"",""Q8"":""24"",""Q9"":""0"",""Q10"":""74"",""Q11"":""56"",""Q12"":""100"",""Q13"":""24"",""Q14"":""0""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","","","",""
"","","","","","survey-slider","7","null","364341","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","47137.5","","{""Q0"":""74"",""Q1"":""100"",""Q2"":""75"",""Q3"":""74"",""Q4"":""74"",""Q5"":""100"",""Q6"":""76"",""Q7"":""100"",""Q8"":""87"",""Q9"":""59"",""Q10"":""75"",""Q11"":""13"",""Q12"":""57"",""Q13"":""80""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","","","","","","","",""
"","","","","","survey-slider","8","null","421276","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","56924.19999998808","","{""Q0"":""100"",""Q1"":""75"",""Q2"":""88"",""Q3"":""86"",""Q4"":""100"",""Q5"":""25"",""Q6"":""74"",""Q7"":""62"",""Q8"":""79"",""Q9"":""24"",""Q10"":""75"",""Q11"":""100"",""Q12"":""75"",""Q13"":""24""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","","","","","","","",""
"","","","","","survey-slider","9","null","469767","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","48480.19999998808","","{""Q0"":""100"",""Q1"":""39"",""Q2"":""75"",""Q3"":""100"",""Q4"":""100"",""Q5"":""100"",""Q6"":""74"",""Q7"":""76"",""Q8"":""75"",""Q9"":""75"",""Q10"":""100"",""Q11"":""25"",""Q12"":""75"",""Q13"":""100"",""Q14"":""100""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","","","",""
"","","","","","survey-slider","10","null","515652","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","45872.19999998808","","{""Q0"":""25"",""Q1"":""82"",""Q2"":""25"",""Q3"":""87"",""Q4"":""25"",""Q5"":""74"",""Q6"":""87"",""Q7"":""86"",""Q8"":""100"",""Q9"":""75"",""Q10"":""74"",""Q11"":""26"",""Q12"":""78"",""Q13"":""100""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","","","","","","","",""
"","","","","","survey-slider","11","null","567102","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","51437.39999997616","","{""Q0"":""59"",""Q1"":""100"",""Q2"":""100"",""Q3"":""72"",""Q4"":""74"",""Q5"":""100"",""Q6"":""75"",""Q7"":""100"",""Q8"":""26"",""Q9"":""24"",""Q10"":""75"",""Q11"":""62"",""Q12"":""26"",""Q13"":""100""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","","","","","","","",""
"","","","","","survey-slider","12","null","627969","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","60854.19999998808","","{""Q0"":""75"",""Q1"":""100"",""Q2"":""26"",""Q3"":""71"",""Q4"":""100"",""Q5"":""61"",""Q6"":""24"",""Q7"":""100"",""Q8"":""100"",""Q9"":""74"",""Q10"":""85"",""Q11"":""100"",""Q12"":""100"",""Q13"":""26"",""Q14"":""75""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","","","",""
"","","","","","survey-slider","13","null","684615","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","56635","","{""Q0"":""100"",""Q1"":""60"",""Q2"":""100"",""Q3"":""74"",""Q4"":""25"",""Q5"":""100"",""Q6"":""26"",""Q7"":""75"",""Q8"":""75"",""Q9"":""100"",""Q10"":""100"",""Q11"":""25"",""Q12"":""25"",""Q13"":""20""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","","","","","","","",""
"","","","","","survey-slider","14","null","724212","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","39586.80000001192","","{""Q0"":""100"",""Q1"":""24"",""Q2"":""58"",""Q3"":""100"",""Q4"":""61"",""Q5"":""15"",""Q6"":""75"",""Q7"":""76"",""Q8"":""37"",""Q9"":""100"",""Q10"":""25"",""Q11"":""100"",""Q12"":""100"",""Q13"":""100""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","","","","","","","",""
"","","","","","survey-slider","15","null","786559","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","62326.10000002384","","{""Q0"":""100"",""Q1"":""25"",""Q2"":""75"",""Q3"":""100"",""Q4"":""62"",""Q5"":""54"",""Q6"":""100"",""Q7"":""0"",""Q8"":""100"",""Q9"":""26"",""Q10"":""76"",""Q11"":""25"",""Q12"":""43"",""Q13"":""35"",""Q14"":""32""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","","","",""
"","","","","","survey-slider","16","null","832857","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","46287.5","","{""Q0"":""100"",""Q1"":""100"",""Q2"":""73"",""Q3"":""25"",""Q4"":""26"",""Q5"":""74"",""Q6"":""81"",""Q7"":""58"",""Q8"":""25"",""Q9"":""30"",""Q10"":""86"",""Q11"":""100"",""Q12"":""100"",""Q13"":""24""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","","","","","","","",""
"","","","","","survey-slider","17","null","909447","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","76580","","{""Q0"":""25"",""Q1"":""14"",""Q2"":""25"",""Q3"":""12"",""Q4"":""26"",""Q5"":""15"",""Q6"":""26"",""Q7"":""26"",""Q8"":""12"",""Q9"":""13"",""Q10"":""79"",""Q11"":""13"",""Q12"":""60"",""Q13"":""75""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","","","","","","","",""
"","","","","","instructions","18","2.0.0","920513","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","11063","","","[{""page_index"":0,""viewing_time"":11063}]","","","","","","","","",""
"","","","","","video-button-response","19","2.0.0","942476","C95395333D9F438CAB7FC28C3251C6DE","1b708477-b4ee-42d2-b309-6fcda66d252d","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","example_videos","21941","[""video/example-video-circles.mp4""]","0","","","","","","","","","",""
