"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","init_locations","moves","final_locations","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","question_order","15","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","1211","1D572EF14532494EB7AC5BC33B74883F","9c5dc901-a761-4842-8e11-15fc47eba311","8ae46f88-4456-4f39-84be-0d71ee8809ab","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","640942","1D572EF14532494EB7AC5BC33B74883F","9c5dc901-a761-4842-8e11-15fc47eba311","8ae46f88-4456-4f39-84be-0d71ee8809ab","consent","639729","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 30 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 30 minutes, your payment will amount to $7.50.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","646153","1D572EF14532494EB7AC5BC33B74883F","9c5dc901-a761-4842-8e11-15fc47eba311","8ae46f88-4456-4f39-84be-0d71ee8809ab","","5210","","","[{""page_index"":0,""viewing_time"":5210}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","2.0.0","661579","1D572EF14532494EB7AC5BC33B74883F","9c5dc901-a761-4842-8e11-15fc47eba311","8ae46f88-4456-4f39-84be-0d71ee8809ab","","15425","","","[{""page_index"":0,""viewing_time"":15425}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-button-response","4","2.0.0","722809","1D572EF14532494EB7AC5BC33B74883F","9c5dc901-a761-4842-8e11-15fc47eba311","8ae46f88-4456-4f39-84be-0d71ee8809ab","example_videos","61228","[""video/example-video-circles.mp4""]","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","free-sort","5","2.0.1","854223","1D572EF14532494EB7AC5BC33B74883F","9c5dc901-a761-4842-8e11-15fc47eba311","8ae46f88-4456-4f39-84be-0d71ee8809ab","","131412","","","","[{""src"":""images/items-circles/img10.png"",""x"":610.4166666666667,""y"":0},{""src"":""images/items-circles/img14.png"",""x"":-60.41666666666666,""y"":550},{""src"":""images/items-circles/img3.png"",""x"":610.4166666666667,""y"":183.33333333333334},{""src"":""images/items-circles/img11.png"",""x"":-60.41666666666666,""y"":366.6666666666667},{""src"":""images/items-circles/img15.png"",""x"":610.4166666666667,""y"":366.6666666666667},{""src"":""images/items-circles/img1.png"",""x"":-60.41666666666666,""y"":183.33333333333334},{""src"":""images/items-circles/img5.png"",""x"":610.4166666666667,""y"":550},{""src"":""images/items-circles/img6.png"",""x"":-60.41666666666666,""y"":0},{""src"":""images/items-circles/img9.png"",""x"":793.75,""y"":0},{""src"":""images/items-circles/img7.png"",""x"":-243.75,""y"":550},{""src"":""images/items-circles/img12.png"",""x"":793.75,""y"":183.33333333333334},{""src"":""images/items-circles/img2.png"",""x"":-243.75,""y"":366.6666666666667},{""src"":""images/items-circles/img4.png"",""x"":793.75,""y"":366.6666666666667},{""src"":""images/items-circles/img8.png"",""x"":-243.75,""y"":183.33333333333334},{""src"":""images/items-circles/img13.png"",""x"":793.75,""y"":550}]","[{""src"":""images/items-circles/img6.png"",""x"":72,""y"":325},{""src"":""images/items-circles/img14.png"",""x"":492,""y"":305},{""src"":""images/items-circles/img15.png"",""x"":118,""y"":425},{""src"":""images/items-circles/img10.png"",""x"":439,""y"":143},{""src"":""images/items-circles/img3.png"",""x"":118,""y"":126},{""src"":""images/items-circles/img4.png"",""x"":131,""y"":144},{""src"":""images/items-circles/img4.png"",""x"":167,""y"":120},{""src"":""images/items-circles/img13.png"",""x"":177,""y"":45},{""src"":""images/items-circles/img5.png"",""x"":77,""y"":120},{""src"":""images/items-circles/img12.png"",""x"":497,""y"":236},{""src"":""images/items-circles/img9.png"",""x"":166,""y"":480},{""src"":""images/items-circles/img11.png"",""x"":239,""y"":514},{""src"":""images/items-circles/img7.png"",""x"":65,""y"":384},{""src"":""images/items-circles/img2.png"",""x"":162,""y"":382},{""src"":""images/items-circles/img8.png"",""x"":234,""y"":430},{""src"":""images/items-circles/img1.png"",""x"":307,""y"":485},{""src"":""images/items-circles/img10.png"",""x"":227,""y"":382},{""src"":""images/items-circles/img14.png"",""x"":309,""y"":412},{""src"":""images/items-circles/img12.png"",""x"":178,""y"":335},{""src"":""images/items-circles/img13.png"",""x"":227,""y"":10},{""src"":""images/items-circles/img4.png"",""x"":299,""y"":19},{""src"":""images/items-circles/img5.png"",""x"":163,""y"":48},{""src"":""images/items-circles/img3.png"",""x"":245,""y"":89},{""src"":""images/items-circles/img2.png"",""x"":144,""y"":402},{""src"":""images/items-circles/img12.png"",""x"":529,""y"":263},{""src"":""images/items-circles/img14.png"",""x"":521,""y"":337},{""src"":""images/items-circles/img8.png"",""x"":260,""y"":463},{""src"":""images/items-circles/img2.png"",""x"":239,""y"":401},{""src"":""images/items-circles/img7.png"",""x"":163,""y"":341},{""src"":""images/items-circles/img9.png"",""x"":94,""y"":401},{""src"":""images/items-circles/img8.png"",""x"":475,""y"":88},{""src"":""images/items-circles/img11.png"",""x"":447,""y"":113},{""src"":""images/items-circles/img9.png"",""x"":406,""y"":142},{""src"":""images/items-circles/img2.png"",""x"":476,""y"":159},{""src"":""images/items-circles/img10.png"",""x"":415,""y"":192},{""src"":""images/items-circles/img15.png"",""x"":186,""y"":511},{""src"":""images/items-circles/img1.png"",""x"":269,""y"":532},{""src"":""images/items-circles/img7.png"",""x"":270,""y"":458},{""src"":""images/items-circles/img6.png"",""x"":201,""y"":445},{""src"":""images/items-circles/img5.png"",""x"":156,""y"":60},{""src"":""images/items-circles/img14.png"",""x"":1,""y"":277},{""src"":""images/items-circles/img12.png"",""x"":60,""y"":290},{""src"":""images/items-circles/img2.png"",""x"":552,""y"":280},{""src"":""images/items-circles/img10.png"",""x"":500,""y"":282},{""src"":""images/items-circles/img9.png"",""x"":539,""y"":217},{""src"":""images/items-circles/img8.png"",""x"":456,""y"":218},{""src"":""images/items-circles/img11.png"",""x"":430,""y"":312},{""src"":""images/items-circles/img7.png"",""x"":275,""y"":457},{""src"":""images/items-circles/img12.png"",""x"":79,""y"":282},{""src"":""images/items-circles/img12.png"",""x"":69,""y"":292},{""src"":""images/items-circles/img13.png"",""x"":13,""y"":350},{""src"":""images/items-circles/img2.png"",""x"":536,""y"":300}]","[{""src"":""images/items-circles/img10.png"",""x"":500,""y"":282},{""src"":""images/items-circles/img14.png"",""x"":1,""y"":277},{""src"":""images/items-circles/img3.png"",""x"":245,""y"":89},{""src"":""images/items-circles/img11.png"",""x"":430,""y"":312},{""src"":""images/items-circles/img15.png"",""x"":186,""y"":511},{""src"":""images/items-circles/img1.png"",""x"":269,""y"":532},{""src"":""images/items-circles/img5.png"",""x"":156,""y"":60},{""src"":""images/items-circles/img6.png"",""x"":201,""y"":445},{""src"":""images/items-circles/img9.png"",""x"":539,""y"":217},{""src"":""images/items-circles/img7.png"",""x"":275,""y"":457},{""src"":""images/items-circles/img12.png"",""x"":69,""y"":292},{""src"":""images/items-circles/img2.png"",""x"":536,""y"":300},{""src"":""images/items-circles/img4.png"",""x"":299,""y"":19},{""src"":""images/items-circles/img8.png"",""x"":456,""y"":218},{""src"":""images/items-circles/img13.png"",""x"":13,""y"":350}]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","2.0.0","890379","1D572EF14532494EB7AC5BC33B74883F","9c5dc901-a761-4842-8e11-15fc47eba311","8ae46f88-4456-4f39-84be-0d71ee8809ab","","36154","","","[{""page_index"":0,""viewing_time"":36154}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-slider","7","null","1061900","1D572EF14532494EB7AC5BC33B74883F","9c5dc901-a761-4842-8e11-15fc47eba311","8ae46f88-4456-4f39-84be-0d71ee8809ab","","171518.10000000894","","{""Q0"":""87"",""Q1"":""77"",""Q2"":""100"",""Q3"":""86"",""Q4"":""25"",""Q5"":""97"",""Q6"":""21"",""Q7"":""29"",""Q8"":""88"",""Q9"":""100"",""Q10"":""89"",""Q11"":""75"",""Q12"":""73"",""Q13"":""50"",""Q14"":""73""}","","","","","{""itemA"":""think about something"",""itemB"":""remember something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""kick something"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""choose what to do"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""reach for something"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""hear something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""feel scared"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""jump up and down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""see something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""sit down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""think about something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""experience pain"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""take a walk"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""get tired"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""get sick"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""become hungry"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
"","","","","","survey-slider","8","null","1202071","1D572EF14532494EB7AC5BC33B74883F","9c5dc901-a761-4842-8e11-15fc47eba311","8ae46f88-4456-4f39-84be-0d71ee8809ab","","140167.59999999404","","{""Q0"":""55"",""Q1"":""64"",""Q2"":""37"",""Q3"":""27"",""Q4"":""76"",""Q5"":""99"",""Q6"":""33"",""Q7"":""76"",""Q8"":""20"",""Q9"":""66"",""Q10"":""100"",""Q11"":""100"",""Q12"":""27"",""Q13"":""73"",""Q14"":""63""}","","","","","{""itemA"":""take a walk"",""itemB"":""jump up and down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""reach for something"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""see something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""kick something"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""become hungry"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""remember something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""take a walk"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""experience pain"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""sit down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""choose what to do"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""think about something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""get tired"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""get sick"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""hear something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""feel scared"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
"","","","","","survey-slider","9","null","1303096","1D572EF14532494EB7AC5BC33B74883F","9c5dc901-a761-4842-8e11-15fc47eba311","8ae46f88-4456-4f39-84be-0d71ee8809ab","","101021.79999999702","","{""Q0"":""77"",""Q1"":""43"",""Q2"":""91"",""Q3"":""90"",""Q4"":""26"",""Q5"":""40"",""Q6"":""29"",""Q7"":""59"",""Q8"":""21"",""Q9"":""88"",""Q10"":""27"",""Q11"":""59"",""Q12"":""81"",""Q13"":""8"",""Q14"":""23""}","","","","","{""itemA"":""become hungry"",""itemB"":""think about something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""hear something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""sit down"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""become hungry"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""get sick"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""see something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""take a walk"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""get tired"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""kick something"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""reach for something"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""feel scared"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""remember something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""choose what to do"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""jump up and down"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""experience pain"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
