"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","init_locations","moves","final_locations","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","question_order","15","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","401","5B0F0BF6341B4AA08153C9C4F945EC86","4f25c3e6-947a-418e-93f1-ffbadd8a2c59","8ae46f88-4456-4f39-84be-0d71ee8809ab","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","8447","5B0F0BF6341B4AA08153C9C4F945EC86","4f25c3e6-947a-418e-93f1-ffbadd8a2c59","8ae46f88-4456-4f39-84be-0d71ee8809ab","consent","8044","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 30 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 30 minutes, your payment will amount to $7.50.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","13355","5B0F0BF6341B4AA08153C9C4F945EC86","4f25c3e6-947a-418e-93f1-ffbadd8a2c59","8ae46f88-4456-4f39-84be-0d71ee8809ab","","4907","","","[{""page_index"":0,""viewing_time"":4906}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","2.0.0","15305","5B0F0BF6341B4AA08153C9C4F945EC86","4f25c3e6-947a-418e-93f1-ffbadd8a2c59","8ae46f88-4456-4f39-84be-0d71ee8809ab","","1948","","","[{""page_index"":0,""viewing_time"":1948}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-button-response","4","2.0.0","140268","5B0F0BF6341B4AA08153C9C4F945EC86","4f25c3e6-947a-418e-93f1-ffbadd8a2c59","8ae46f88-4456-4f39-84be-0d71ee8809ab","example_videos","124947","[""video/example-video-circles.mp4""]","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","free-sort","5","2.0.1","192412","5B0F0BF6341B4AA08153C9C4F945EC86","4f25c3e6-947a-418e-93f1-ffbadd8a2c59","8ae46f88-4456-4f39-84be-0d71ee8809ab","","52135","","","","[{""src"":""images/items-circles/img9.png"",""x"":610.4166666666667,""y"":0},{""src"":""images/items-circles/img10.png"",""x"":-60.41666666666666,""y"":550},{""src"":""images/items-circles/img14.png"",""x"":610.4166666666667,""y"":183.33333333333334},{""src"":""images/items-circles/img5.png"",""x"":-60.41666666666666,""y"":366.6666666666667},{""src"":""images/items-circles/img8.png"",""x"":610.4166666666667,""y"":366.6666666666667},{""src"":""images/items-circles/img11.png"",""x"":-60.41666666666666,""y"":183.33333333333334},{""src"":""images/items-circles/img3.png"",""x"":610.4166666666667,""y"":550},{""src"":""images/items-circles/img4.png"",""x"":-60.41666666666666,""y"":0},{""src"":""images/items-circles/img15.png"",""x"":793.75,""y"":0},{""src"":""images/items-circles/img1.png"",""x"":-243.75,""y"":550},{""src"":""images/items-circles/img2.png"",""x"":793.75,""y"":183.33333333333334},{""src"":""images/items-circles/img6.png"",""x"":-243.75,""y"":366.6666666666667},{""src"":""images/items-circles/img12.png"",""x"":793.75,""y"":366.6666666666667},{""src"":""images/items-circles/img7.png"",""x"":-243.75,""y"":183.33333333333334},{""src"":""images/items-circles/img13.png"",""x"":793.75,""y"":550}]","[{""src"":""images/items-circles/img14.png"",""x"":253,""y"":182},{""src"":""images/items-circles/img11.png"",""x"":211,""y"":104},{""src"":""images/items-circles/img4.png"",""x"":138,""y"":169},{""src"":""images/items-circles/img7.png"",""x"":174,""y"":228},{""src"":""images/items-circles/img6.png"",""x"":134,""y"":292},{""src"":""images/items-circles/img8.png"",""x"":219,""y"":393},{""src"":""images/items-circles/img12.png"",""x"":292,""y"":399},{""src"":""images/items-circles/img13.png"",""x"":374,""y"":480},{""src"":""images/items-circles/img5.png"",""x"":141,""y"":562},{""src"":""images/items-circles/img5.png"",""x"":308,""y"":431},{""src"":""images/items-circles/img2.png"",""x"":337,""y"":413},{""src"":""images/items-circles/img9.png"",""x"":379,""y"":282},{""src"":""images/items-circles/img15.png"",""x"":426,""y"":166},{""src"":""images/items-circles/img3.png"",""x"":448,""y"":346},{""src"":""images/items-circles/img1.png"",""x"":322,""y"":402},{""src"":""images/items-circles/img10.png"",""x"":298,""y"":439}]","[{""src"":""images/items-circles/img9.png"",""x"":379,""y"":282},{""src"":""images/items-circles/img10.png"",""x"":298,""y"":439},{""src"":""images/items-circles/img14.png"",""x"":253,""y"":182},{""src"":""images/items-circles/img5.png"",""x"":308,""y"":431},{""src"":""images/items-circles/img8.png"",""x"":219,""y"":393},{""src"":""images/items-circles/img11.png"",""x"":211,""y"":104},{""src"":""images/items-circles/img3.png"",""x"":448,""y"":346},{""src"":""images/items-circles/img4.png"",""x"":138,""y"":169},{""src"":""images/items-circles/img15.png"",""x"":426,""y"":166},{""src"":""images/items-circles/img1.png"",""x"":322,""y"":402},{""src"":""images/items-circles/img2.png"",""x"":337,""y"":413},{""src"":""images/items-circles/img6.png"",""x"":134,""y"":292},{""src"":""images/items-circles/img12.png"",""x"":292,""y"":399},{""src"":""images/items-circles/img7.png"",""x"":174,""y"":228},{""src"":""images/items-circles/img13.png"",""x"":374,""y"":480}]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","2.0.0","197143","5B0F0BF6341B4AA08153C9C4F945EC86","4f25c3e6-947a-418e-93f1-ffbadd8a2c59","8ae46f88-4456-4f39-84be-0d71ee8809ab","","4729","","","[{""page_index"":0,""viewing_time"":4729}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-slider","7","null","233323","5B0F0BF6341B4AA08153C9C4F945EC86","4f25c3e6-947a-418e-93f1-ffbadd8a2c59","8ae46f88-4456-4f39-84be-0d71ee8809ab","","36163.90000000596","","{""Q0"":""74"",""Q1"":""73"",""Q2"":""79"",""Q3"":""26"",""Q4"":""78"",""Q5"":""79"",""Q6"":""82"",""Q7"":""23"",""Q8"":""54"",""Q9"":""80"",""Q10"":""84"",""Q11"":""78"",""Q12"":""78"",""Q13"":""71"",""Q14"":""32""}","","","","","{""itemA"":""sit down"",""itemB"":""jump up and down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""jump up and down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""jump up and down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel scared"",""itemB"":""jump up and down"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""see something"",""itemB"":""jump up and down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""jump up and down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""jump up and down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""jump up and down"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""jump up and down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get sick"",""itemB"":""jump up and down"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""jump up and down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""jump up and down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""jump up and down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""jump up and down"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""experience pain"",""itemB"":""jump up and down"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
"","","","","","survey-slider","8","null","264159","5B0F0BF6341B4AA08153C9C4F945EC86","4f25c3e6-947a-418e-93f1-ffbadd8a2c59","8ae46f88-4456-4f39-84be-0d71ee8809ab","","30831.69999998808","","{""Q0"":""87"",""Q1"":""88"",""Q2"":""87"",""Q3"":""12"",""Q4"":""82"",""Q5"":""84"",""Q6"":""21"",""Q7"":""81"",""Q8"":""84"",""Q9"":""85"",""Q10"":""83"",""Q11"":""44"",""Q12"":""81"",""Q13"":""83"",""Q14"":""27""}","","","","","{""itemA"":""feel scared"",""itemB"":""become hungry"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""become hungry"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""become hungry"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get sick"",""itemB"":""become hungry"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""become hungry"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""see something"",""itemB"":""become hungry"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""become hungry"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""become hungry"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""become hungry"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""become hungry"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""become hungry"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""experience pain"",""itemB"":""become hungry"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""become hungry"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""become hungry"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""sit down"",""itemB"":""become hungry"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
"","","","","","survey-slider","9","null","362444","5B0F0BF6341B4AA08153C9C4F945EC86","4f25c3e6-947a-418e-93f1-ffbadd8a2c59","8ae46f88-4456-4f39-84be-0d71ee8809ab","","98270.80000001192","","{""Q0"":""84"",""Q1"":""28"",""Q2"":""80"",""Q3"":""79"",""Q4"":""80"",""Q5"":""78"",""Q6"":""20"",""Q7"":""81"",""Q8"":""85"",""Q9"":""36"",""Q10"":""57"",""Q11"":""66"",""Q12"":""83"",""Q13"":""83"",""Q14"":""80""}","","","","","{""itemA"":""get tired"",""itemB"":""get tired"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""sit down"",""itemB"":""get tired"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""get tired"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""get tired"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""get tired"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""get tired"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get sick"",""itemB"":""get tired"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""get tired"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""get tired"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""see something"",""itemB"":""get tired"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel scared"",""itemB"":""get tired"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""get tired"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""get tired"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""experience pain"",""itemB"":""get tired"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""get tired"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
