"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","init_locations","moves","final_locations","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","question_order","15","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","1298","BA2BCA7CCB1C4030859B5BC1E915D44D","9f1e043e-e82e-4db8-9ae1-0e86ca4c2346","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","11639","BA2BCA7CCB1C4030859B5BC1E915D44D","9f1e043e-e82e-4db8-9ae1-0e86ca4c2346","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","consent","10339","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 30 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 30 minutes, your payment will amount to $7.50.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","18224","BA2BCA7CCB1C4030859B5BC1E915D44D","9f1e043e-e82e-4db8-9ae1-0e86ca4c2346","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","6584","","","[{""page_index"":0,""viewing_time"":6584}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","2.0.0","125844","BA2BCA7CCB1C4030859B5BC1E915D44D","9f1e043e-e82e-4db8-9ae1-0e86ca4c2346","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","107619","","","[{""page_index"":0,""viewing_time"":107619}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-button-response","4","2.0.0","150944","BA2BCA7CCB1C4030859B5BC1E915D44D","9f1e043e-e82e-4db8-9ae1-0e86ca4c2346","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","example_videos","25088","[""video/example-video-circles.mp4""]","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","free-sort","5","2.0.1","296744","BA2BCA7CCB1C4030859B5BC1E915D44D","9f1e043e-e82e-4db8-9ae1-0e86ca4c2346","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","145798","","","","[{""src"":""images/items-circles/img8.png"",""x"":610.4166666666667,""y"":0},{""src"":""images/items-circles/img10.png"",""x"":-60.41666666666666,""y"":550},{""src"":""images/items-circles/img4.png"",""x"":610.4166666666667,""y"":183.33333333333334},{""src"":""images/items-circles/img15.png"",""x"":-60.41666666666666,""y"":366.6666666666667},{""src"":""images/items-circles/img3.png"",""x"":610.4166666666667,""y"":366.6666666666667},{""src"":""images/items-circles/img14.png"",""x"":-60.41666666666666,""y"":183.33333333333334},{""src"":""images/items-circles/img5.png"",""x"":610.4166666666667,""y"":550},{""src"":""images/items-circles/img11.png"",""x"":-60.41666666666666,""y"":0},{""src"":""images/items-circles/img2.png"",""x"":793.75,""y"":0},{""src"":""images/items-circles/img9.png"",""x"":-243.75,""y"":550},{""src"":""images/items-circles/img6.png"",""x"":793.75,""y"":183.33333333333334},{""src"":""images/items-circles/img12.png"",""x"":-243.75,""y"":366.6666666666667},{""src"":""images/items-circles/img7.png"",""x"":793.75,""y"":366.6666666666667},{""src"":""images/items-circles/img13.png"",""x"":-243.75,""y"":183.33333333333334},{""src"":""images/items-circles/img1.png"",""x"":793.75,""y"":550}]","[{""src"":""images/items-circles/img13.png"",""x"":112,""y"":97},{""src"":""images/items-circles/img4.png"",""x"":446,""y"":150},{""src"":""images/items-circles/img8.png"",""x"":86,""y"":373},{""src"":""images/items-circles/img15.png"",""x"":474,""y"":394},{""src"":""images/items-circles/img12.png"",""x"":200,""y"":62},{""src"":""images/items-circles/img9.png"",""x"":126,""y"":446},{""src"":""images/items-circles/img3.png"",""x"":493,""y"":203},{""src"":""images/items-circles/img6.png"",""x"":315,""y"":484},{""src"":""images/items-circles/img6.png"",""x"":433,""y"":448},{""src"":""images/items-circles/img5.png"",""x"":397,""y"":503},{""src"":""images/items-circles/img2.png"",""x"":183,""y"":126},{""src"":""images/items-circles/img14.png"",""x"":102,""y"":177},{""src"":""images/items-circles/img11.png"",""x"":162,""y"":397},{""src"":""images/items-circles/img10.png"",""x"":143,""y"":349},{""src"":""images/items-circles/img7.png"",""x"":416,""y"":225},{""src"":""images/items-circles/img1.png"",""x"":161,""y"":202}]","[{""src"":""images/items-circles/img8.png"",""x"":86,""y"":373},{""src"":""images/items-circles/img10.png"",""x"":143,""y"":348},{""src"":""images/items-circles/img4.png"",""x"":445,""y"":150},{""src"":""images/items-circles/img15.png"",""x"":474,""y"":393},{""src"":""images/items-circles/img3.png"",""x"":493,""y"":203},{""src"":""images/items-circles/img14.png"",""x"":102,""y"":177},{""src"":""images/items-circles/img5.png"",""x"":396,""y"":503},{""src"":""images/items-circles/img11.png"",""x"":162,""y"":397},{""src"":""images/items-circles/img2.png"",""x"":183,""y"":125},{""src"":""images/items-circles/img9.png"",""x"":126,""y"":446},{""src"":""images/items-circles/img6.png"",""x"":433,""y"":448},{""src"":""images/items-circles/img12.png"",""x"":199,""y"":61},{""src"":""images/items-circles/img7.png"",""x"":416,""y"":225},{""src"":""images/items-circles/img13.png"",""x"":112,""y"":96},{""src"":""images/items-circles/img1.png"",""x"":160,""y"":201}]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","2.0.0","413476","BA2BCA7CCB1C4030859B5BC1E915D44D","9f1e043e-e82e-4db8-9ae1-0e86ca4c2346","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","116730","","","[{""page_index"":0,""viewing_time"":116730}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-slider","7","null","527078","BA2BCA7CCB1C4030859B5BC1E915D44D","9f1e043e-e82e-4db8-9ae1-0e86ca4c2346","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","113593.80000019073","","{""Q0"":""100"",""Q1"":""64"",""Q2"":""71"",""Q3"":""7"",""Q4"":""56"",""Q5"":""0"",""Q6"":""1"",""Q7"":""0"",""Q8"":""0"",""Q9"":""81"",""Q10"":""0"",""Q11"":""0"",""Q12"":""60"",""Q13"":""100"",""Q14"":""5""}","","","","","{""itemA"":""jump up and down"",""itemB"":""jump up and down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""see something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""choose what to do"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""sit down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""reach for something"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""kick something"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""think about something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""take a walk"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""hear something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""experience pain"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""feel scared"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""remember something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""become hungry"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""get tired"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""get sick"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
"","","","","","survey-slider","8","null","639966","BA2BCA7CCB1C4030859B5BC1E915D44D","9f1e043e-e82e-4db8-9ae1-0e86ca4c2346","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","112881.89999961853","","{""Q0"":""0"",""Q1"":""7"",""Q2"":""7"",""Q3"":""13"",""Q4"":""4"",""Q5"":""61"",""Q6"":""12"",""Q7"":""0"",""Q8"":""100"",""Q9"":""34"",""Q10"":""43"",""Q11"":""0"",""Q12"":""100"",""Q13"":""17"",""Q14"":""6""}","","","","","{""itemA"":""get tired"",""itemB"":""kick something"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""think about something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""reach for something"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""take a walk"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""experience pain"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""choose what to do"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""feel scared"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""jump up and down"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""sit down"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""get sick"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""see something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""remember something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""get tired"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""hear something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""become hungry"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
"","","","","","survey-slider","9","null","746855","BA2BCA7CCB1C4030859B5BC1E915D44D","9f1e043e-e82e-4db8-9ae1-0e86ca4c2346","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","106885.2999997139","","{""Q0"":""57"",""Q1"":""100"",""Q2"":""1"",""Q3"":""100"",""Q4"":""60"",""Q5"":""7"",""Q6"":""58"",""Q7"":""4"",""Q8"":""0"",""Q9"":""2"",""Q10"":""0"",""Q11"":""19"",""Q12"":""0"",""Q13"":""100"",""Q14"":""41""}","","","","","{""itemA"":""think about something"",""itemB"":""get sick"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""think about something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""sit down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""remember something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""feel scared"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""reach for something"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""get tired"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""experience pain"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""jump up and down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""take a walk"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""become hungry"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""see something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""hear something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""choose what to do"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""kick something"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
