"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","init_locations","moves","final_locations","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","question_order","15","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","358","CB18A705D3D540B8A4A8D627BE511170","3201e1c5-2cd4-42cb-abed-6f59fee7c3ab","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","22715","CB18A705D3D540B8A4A8D627BE511170","3201e1c5-2cd4-42cb-abed-6f59fee7c3ab","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","consent","22356","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 30 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 30 minutes, your payment will amount to $7.50.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","28174","CB18A705D3D540B8A4A8D627BE511170","3201e1c5-2cd4-42cb-abed-6f59fee7c3ab","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","5459","","","[{""page_index"":0,""viewing_time"":5459}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","2.0.0","37689","CB18A705D3D540B8A4A8D627BE511170","3201e1c5-2cd4-42cb-abed-6f59fee7c3ab","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","9514","","","[{""page_index"":0,""viewing_time"":9514}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-button-response","4","2.0.0","68877","CB18A705D3D540B8A4A8D627BE511170","3201e1c5-2cd4-42cb-abed-6f59fee7c3ab","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","example_videos","31186","[""video/example-video-circles.mp4""]","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","free-sort","5","2.0.1","139497","CB18A705D3D540B8A4A8D627BE511170","3201e1c5-2cd4-42cb-abed-6f59fee7c3ab","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","70618","","","","[{""src"":""images/items-circles/img4.png"",""x"":610.4166666666667,""y"":0},{""src"":""images/items-circles/img5.png"",""x"":-60.41666666666666,""y"":550},{""src"":""images/items-circles/img7.png"",""x"":610.4166666666667,""y"":183.33333333333334},{""src"":""images/items-circles/img9.png"",""x"":-60.41666666666666,""y"":366.6666666666667},{""src"":""images/items-circles/img3.png"",""x"":610.4166666666667,""y"":366.6666666666667},{""src"":""images/items-circles/img11.png"",""x"":-60.41666666666666,""y"":183.33333333333334},{""src"":""images/items-circles/img13.png"",""x"":610.4166666666667,""y"":550},{""src"":""images/items-circles/img14.png"",""x"":-60.41666666666666,""y"":0},{""src"":""images/items-circles/img15.png"",""x"":793.75,""y"":0},{""src"":""images/items-circles/img10.png"",""x"":-243.75,""y"":550},{""src"":""images/items-circles/img1.png"",""x"":793.75,""y"":183.33333333333334},{""src"":""images/items-circles/img2.png"",""x"":-243.75,""y"":366.6666666666667},{""src"":""images/items-circles/img6.png"",""x"":793.75,""y"":366.6666666666667},{""src"":""images/items-circles/img8.png"",""x"":-243.75,""y"":183.33333333333334},{""src"":""images/items-circles/img12.png"",""x"":793.75,""y"":550}]","[{""src"":""images/items-circles/img11.png"",""x"":192,""y"":155},{""src"":""images/items-circles/img9.png"",""x"":236,""y"":107},{""src"":""images/items-circles/img3.png"",""x"":418,""y"":266},{""src"":""images/items-circles/img4.png"",""x"":424,""y"":216},{""src"":""images/items-circles/img5.png"",""x"":488,""y"":189},{""src"":""images/items-circles/img8.png"",""x"":117,""y"":315},{""src"":""images/items-circles/img2.png"",""x"":137,""y"":349},{""src"":""images/items-circles/img10.png"",""x"":175,""y"":305},{""src"":""images/items-circles/img14.png"",""x"":312,""y"":448},{""src"":""images/items-circles/img14.png"",""x"":261,""y"":471},{""src"":""images/items-circles/img12.png"",""x"":401,""y"":416},{""src"":""images/items-circles/img13.png"",""x"":397,""y"":440},{""src"":""images/items-circles/img6.png"",""x"":360,""y"":84},{""src"":""images/items-circles/img15.png"",""x"":363,""y"":73},{""src"":""images/items-circles/img1.png"",""x"":203,""y"":485},{""src"":""images/items-circles/img7.png"",""x"":408,""y"":78},{""src"":""images/items-circles/img15.png"",""x"":237,""y"":520}]","[{""src"":""images/items-circles/img4.png"",""x"":423,""y"":216},{""src"":""images/items-circles/img5.png"",""x"":488,""y"":188},{""src"":""images/items-circles/img7.png"",""x"":407,""y"":77},{""src"":""images/items-circles/img9.png"",""x"":235,""y"":106},{""src"":""images/items-circles/img3.png"",""x"":418,""y"":265},{""src"":""images/items-circles/img11.png"",""x"":192,""y"":154},{""src"":""images/items-circles/img13.png"",""x"":397,""y"":439},{""src"":""images/items-circles/img14.png"",""x"":261,""y"":470},{""src"":""images/items-circles/img15.png"",""x"":236,""y"":520},{""src"":""images/items-circles/img10.png"",""x"":175,""y"":305},{""src"":""images/items-circles/img1.png"",""x"":202,""y"":485},{""src"":""images/items-circles/img2.png"",""x"":136,""y"":349},{""src"":""images/items-circles/img6.png"",""x"":359,""y"":84},{""src"":""images/items-circles/img8.png"",""x"":116,""y"":314},{""src"":""images/items-circles/img12.png"",""x"":400,""y"":415}]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","2.0.0","149465","CB18A705D3D540B8A4A8D627BE511170","3201e1c5-2cd4-42cb-abed-6f59fee7c3ab","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","9967","","","[{""page_index"":0,""viewing_time"":9966}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-slider","7","null","225105","CB18A705D3D540B8A4A8D627BE511170","3201e1c5-2cd4-42cb-abed-6f59fee7c3ab","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","75635.80000000075","","{""Q0"":""63"",""Q1"":""16"",""Q2"":""5"",""Q3"":""0"",""Q4"":""8"",""Q5"":""100"",""Q6"":""0"",""Q7"":""5"",""Q8"":""34"",""Q9"":""100"",""Q10"":""56"",""Q11"":""100"",""Q12"":""87"",""Q13"":""100"",""Q14"":""100""}","","","","","{""itemA"":""reach for something"",""itemB"":""feel scared"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""become hungry"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""kick something"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""jump up and down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""sit down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""experience pain"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""take a walk"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""get sick"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""hear something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""reach for something"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""get tired"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""choose what to do"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""remember something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""think about something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""see something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
"","","","","","survey-slider","8","null","291072","CB18A705D3D540B8A4A8D627BE511170","3201e1c5-2cd4-42cb-abed-6f59fee7c3ab","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","65964.40000000224","","{""Q0"":""100"",""Q1"":""60"",""Q2"":""0"",""Q3"":""100"",""Q4"":""82"",""Q5"":""100"",""Q6"":""100"",""Q7"":""100"",""Q8"":""57"",""Q9"":""73"",""Q10"":""94"",""Q11"":""40"",""Q12"":""100"",""Q13"":""100"",""Q14"":""74""}","","","","","{""itemA"":""take a walk"",""itemB"":""choose what to do"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""kick something"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""sit down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""experience pain"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""hear something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""get tired"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""think about something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""remember something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""get sick"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""feel scared"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""see something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""jump up and down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""become hungry"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""take a walk"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""reach for something"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
"","","","","","survey-slider","9","null","332301","CB18A705D3D540B8A4A8D627BE511170","3201e1c5-2cd4-42cb-abed-6f59fee7c3ab","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","41225.60000000149","","{""Q0"":""21"",""Q1"":""58"",""Q2"":""90"",""Q3"":""88"",""Q4"":""100"",""Q5"":""0"",""Q6"":""65"",""Q7"":""100"",""Q8"":""100"",""Q9"":""100"",""Q10"":""91"",""Q11"":""88"",""Q12"":""0"",""Q13"":""80"",""Q14"":""100""}","","","","","{""itemA"":""jump up and down"",""itemB"":""reach for something"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""feel scared"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""choose what to do"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""hear something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""get tired"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""sit down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""see something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""become hungry"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""think about something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""experience pain"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""kick something"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""remember something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""take a walk"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""get sick"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""jump up and down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
