"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","init_locations","moves","final_locations","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","question_order","15","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","267","EB394BAF654D48F9B0F94746FA7E0288","3ae01f7f-7f70-4601-9b6e-987c0d7f8bdc","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","11614","EB394BAF654D48F9B0F94746FA7E0288","3ae01f7f-7f70-4601-9b6e-987c0d7f8bdc","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","consent","11344","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 30 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 30 minutes, your payment will amount to $7.50.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","15645","EB394BAF654D48F9B0F94746FA7E0288","3ae01f7f-7f70-4601-9b6e-987c0d7f8bdc","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","4029","","","[{""page_index"":0,""viewing_time"":4029}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","2.0.0","23269","EB394BAF654D48F9B0F94746FA7E0288","3ae01f7f-7f70-4601-9b6e-987c0d7f8bdc","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","7622","","","[{""page_index"":0,""viewing_time"":7622}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-button-response","4","2.0.0","47353","EB394BAF654D48F9B0F94746FA7E0288","3ae01f7f-7f70-4601-9b6e-987c0d7f8bdc","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","example_videos","24081","[""video/example-video-circles.mp4""]","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","free-sort","5","2.0.1","105578","EB394BAF654D48F9B0F94746FA7E0288","3ae01f7f-7f70-4601-9b6e-987c0d7f8bdc","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","58222","","","","[{""src"":""images/items-circles/img14.png"",""x"":610.4166666666667,""y"":0},{""src"":""images/items-circles/img13.png"",""x"":-60.41666666666666,""y"":550},{""src"":""images/items-circles/img5.png"",""x"":610.4166666666667,""y"":183.33333333333334},{""src"":""images/items-circles/img2.png"",""x"":-60.41666666666666,""y"":366.6666666666667},{""src"":""images/items-circles/img1.png"",""x"":610.4166666666667,""y"":366.6666666666667},{""src"":""images/items-circles/img8.png"",""x"":-60.41666666666666,""y"":183.33333333333334},{""src"":""images/items-circles/img10.png"",""x"":610.4166666666667,""y"":550},{""src"":""images/items-circles/img6.png"",""x"":-60.41666666666666,""y"":0},{""src"":""images/items-circles/img12.png"",""x"":793.75,""y"":0},{""src"":""images/items-circles/img9.png"",""x"":-243.75,""y"":550},{""src"":""images/items-circles/img4.png"",""x"":793.75,""y"":183.33333333333334},{""src"":""images/items-circles/img3.png"",""x"":-243.75,""y"":366.6666666666667},{""src"":""images/items-circles/img11.png"",""x"":793.75,""y"":366.6666666666667},{""src"":""images/items-circles/img7.png"",""x"":-243.75,""y"":183.33333333333334},{""src"":""images/items-circles/img15.png"",""x"":793.75,""y"":550}]","[{""src"":""images/items-circles/img14.png"",""x"":383,""y"":116},{""src"":""images/items-circles/img13.png"",""x"":419,""y"":220},{""src"":""images/items-circles/img9.png"",""x"":76,""y"":264},{""src"":""images/items-circles/img1.png"",""x"":299,""y"":49},{""src"":""images/items-circles/img11.png"",""x"":106,""y"":314},{""src"":""images/items-circles/img10.png"",""x"":158,""y"":435},{""src"":""images/items-circles/img15.png"",""x"":463,""y"":372},{""src"":""images/items-circles/img6.png"",""x"":422,""y"":405},{""src"":""images/items-circles/img3.png"",""x"":134,""y"":84},{""src"":""images/items-circles/img8.png"",""x"":172,""y"":137},{""src"":""images/items-circles/img2.png"",""x"":345,""y"":263},{""src"":""images/items-circles/img7.png"",""x"":364,""y"":476},{""src"":""images/items-circles/img12.png"",""x"":462,""y"":190},{""src"":""images/items-circles/img5.png"",""x"":342,""y"":409},{""src"":""images/items-circles/img4.png"",""x"":242,""y"":349}]","[{""src"":""images/items-circles/img14.png"",""x"":382,""y"":116},{""src"":""images/items-circles/img13.png"",""x"":419,""y"":220},{""src"":""images/items-circles/img5.png"",""x"":342,""y"":409},{""src"":""images/items-circles/img2.png"",""x"":344,""y"":263},{""src"":""images/items-circles/img1.png"",""x"":298,""y"":48},{""src"":""images/items-circles/img8.png"",""x"":172,""y"":137},{""src"":""images/items-circles/img10.png"",""x"":158,""y"":434},{""src"":""images/items-circles/img6.png"",""x"":422,""y"":404},{""src"":""images/items-circles/img12.png"",""x"":462,""y"":189},{""src"":""images/items-circles/img9.png"",""x"":76,""y"":263},{""src"":""images/items-circles/img4.png"",""x"":242,""y"":348},{""src"":""images/items-circles/img3.png"",""x"":133,""y"":83},{""src"":""images/items-circles/img11.png"",""x"":106,""y"":314},{""src"":""images/items-circles/img7.png"",""x"":364,""y"":475},{""src"":""images/items-circles/img15.png"",""x"":462,""y"":371}]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","2.0.0","114049","EB394BAF654D48F9B0F94746FA7E0288","3ae01f7f-7f70-4601-9b6e-987c0d7f8bdc","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","8470","","","[{""page_index"":0,""viewing_time"":8470}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-slider","7","null","158395","EB394BAF654D48F9B0F94746FA7E0288","3ae01f7f-7f70-4601-9b6e-987c0d7f8bdc","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","44339.80000001192","","{""Q0"":""100"",""Q1"":""74"",""Q2"":""67"",""Q3"":""40"",""Q4"":""100"",""Q5"":""100"",""Q6"":""75"",""Q7"":""86"",""Q8"":""100"",""Q9"":""69"",""Q10"":""100"",""Q11"":""95"",""Q12"":""94"",""Q13"":""86"",""Q14"":""100""}","","","","","{""itemA"":""become hungry"",""itemB"":""experience pain"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""sit down"",""itemB"":""experience pain"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""experience pain"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""experience pain"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""experience pain"",""itemB"":""experience pain"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""experience pain"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""see something"",""itemB"":""experience pain"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""experience pain"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""experience pain"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""experience pain"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get sick"",""itemB"":""experience pain"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel scared"",""itemB"":""experience pain"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""experience pain"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""experience pain"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""experience pain"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
"","","","","","survey-slider","8","null","205274","EB394BAF654D48F9B0F94746FA7E0288","3ae01f7f-7f70-4601-9b6e-987c0d7f8bdc","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","46873.30000001192","","{""Q0"":""57"",""Q1"":""65"",""Q2"":""85"",""Q3"":""76"",""Q4"":""32"",""Q5"":""71"",""Q6"":""82"",""Q7"":""0"",""Q8"":""70"",""Q9"":""29"",""Q10"":""73"",""Q11"":""71"",""Q12"":""29"",""Q13"":""75"",""Q14"":""35""}","","","","","{""itemA"":""become hungry"",""itemB"":""jump up and down"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""see something"",""itemB"":""jump up and down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""experience pain"",""itemB"":""jump up and down"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""jump up and down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""jump up and down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel scared"",""itemB"":""jump up and down"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""jump up and down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""sit down"",""itemB"":""jump up and down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""jump up and down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get sick"",""itemB"":""jump up and down"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""jump up and down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""jump up and down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""jump up and down"",""categoryA"":""physiological"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""jump up and down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""jump up and down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
"","","","","","survey-slider","9","null","250594","EB394BAF654D48F9B0F94746FA7E0288","3ae01f7f-7f70-4601-9b6e-987c0d7f8bdc","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","45314.30000001192","","{""Q0"":""86"",""Q1"":""72"",""Q2"":""87"",""Q3"":""32"",""Q4"":""67"",""Q5"":""88"",""Q6"":""34"",""Q7"":""85"",""Q8"":""40"",""Q9"":""100"",""Q10"":""37"",""Q11"":""79"",""Q12"":""66"",""Q13"":""65"",""Q14"":""41""}","","","","","{""itemA"":""see something"",""itemB"":""get sick"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""get sick"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""get sick"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""sit down"",""itemB"":""get sick"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""get sick"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""experience pain"",""itemB"":""get sick"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""get sick"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel scared"",""itemB"":""get sick"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""get sick"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get sick"",""itemB"":""get sick"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""get sick"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""get sick"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""get sick"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""get sick"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""get sick"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
