"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","similarity_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","3","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","10811","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","consent","10808","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 4 minutes, your payment will amount to $1.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","23727","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","12915","","","[{""page_index"":0,""viewing_time"":12915}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.0.0","33783","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","10055","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>kick something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","kick something","think about something","jump up and down","<p style=""font-size: 20px;"">The ability to <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.0.0","37514","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","3731","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>hear something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","hear something","take a walk","see something","<p style=""font-size: 20px;"">The ability to <strong>see something</strong></p>","","","","","",""
"","","","","","html-button-response","5","2.0.0","41541","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","4026","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get sick</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","get sick","see something","get tired","<p style=""font-size: 20px;"">The ability to <strong>get tired</strong></p>","","","","","",""
"","","","","","html-button-response","6","2.0.0","43701","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","2158","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>sit down</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","sit down","experience pain","jump up and down","<p style=""font-size: 20px;"">The ability to <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","7","2.0.0","46228","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","2526","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>become hungry</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","become hungry","take a walk","experience pain","<p style=""font-size: 20px;"">The ability to <strong>experience pain</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.0.0","48760","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","2531","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>reach for something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","reach for something","become hungry","kick something","<p style=""font-size: 20px;"">The ability to <strong>kick something</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.0.0","50915","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","2154","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>see something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","see something","take a walk","hear something","<p style=""font-size: 20px;"">The ability to <strong>hear something</strong></p>","","","","","",""
"","","","","","html-button-response","10","2.0.0","53205","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","2290","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>think about something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","think about something","take a walk","remember something","<p style=""font-size: 20px;"">The ability to <strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","11","2.0.0","55025","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","1819","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>take a walk</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","take a walk","think about something","jump up and down","<p style=""font-size: 20px;"">The ability to <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","12","2.0.0","57329","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","2303","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get tired</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","get tired","jump up and down","feel scared","<p style=""font-size: 20px;"">The ability to <strong>feel scared</strong></p>","","","","","",""
"","","","","","html-button-response","13","2.0.0","59014","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","1685","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>jump up and down</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","jump up and down","think about something","sit down","<p style=""font-size: 20px;"">The ability to <strong>sit down</strong></p>","","","","","",""
"","","","","","html-button-response","14","2.0.0","61313","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","2299","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>remember something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","remember something","take a walk","think about something","<p style=""font-size: 20px;"">The ability to <strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","15","2.0.0","66364","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","5050","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>choose what to do</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","choose what to do","feel scared","remember something","<p style=""font-size: 20px;"">The ability to <strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","16","2.0.0","68122","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","1757","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>experience pain</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","experience pain","kick something","feel scared","<p style=""font-size: 20px;"">The ability to <strong>feel scared</strong></p>","","","","","",""
"","","","","","html-button-response","17","2.0.0","76049","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","7926","<p style=""font-size: 25px;"">For this question, please select ""The ability to <strong>choose what to do</strong>""</p>","0","","attention_check","","","","The ability to choose what to do","choose what to do","","","","",""
"","","","","","html-button-response","18","2.0.0","79526","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","3475","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>feel scared</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","feel scared","see something","become hungry","<p style=""font-size: 20px;"">The ability to <strong>become hungry</strong></p>","","","","","",""
"","","","","","instructions","19","2.0.0","81169","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","","1642","","","[{""page_index"":0,""viewing_time"":1642}]","","","","","","","","","","",""
"","","","","","survey-html-form","20","2.0.0","108073","370C0B06651E4C23AC8CD94C86B91E85","e62dbcbe-3281-42d6-a2ae-820c33244017","c7cf4b46-9995-4e13-9ff9-3f21d60caf16","demographics_survey","26904","","{""feedback"":""I tried to think about how the thing the creature could do might relate to the choices."",""age"":""30"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}","","","","","","","","I tried to think about how the thing the creature could do might relate to the choices.","30","Non-Hispanic","Male","White"
