"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","similarity_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","11","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","24482","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","consent","24468","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 4 minutes, your payment will amount to $1.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","33548","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","9065","","","[{""page_index"":0,""viewing_time"":9065}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.0.0","38781","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","5232","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>choose what to do</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","choose what to do","feel scared","remember something","<p style=""font-size: 20px;"">The ability to <strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.0.0","43894","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","5111","<p style=""font-size: 25px;"">For this question, please select ""The ability to <strong>choose what to do</strong>""</p>","0","","attention_check","","","","The ability to choose what to do","choose what to do","","","","",""
"","","","","","html-button-response","5","2.0.0","50155","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","6259","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>kick something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","kick something","think about something","jump up and down","<p style=""font-size: 20px;"">The ability to <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","6","2.0.0","54421","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","4264","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>jump up and down</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","jump up and down","think about something","sit down","<p style=""font-size: 20px;"">The ability to <strong>sit down</strong></p>","","","","","",""
"","","","","","html-button-response","7","2.0.0","60103","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","5681","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>feel scared</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","feel scared","see something","become hungry","<p style=""font-size: 20px;"">The ability to <strong>become hungry</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.0.0","64024","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","3919","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>become hungry</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","become hungry","take a walk","experience pain","<p style=""font-size: 20px;"">The ability to <strong>experience pain</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.0.0","67042","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","3016","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get sick</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","get sick","see something","get tired","<p style=""font-size: 20px;"">The ability to <strong>get tired</strong></p>","","","","","",""
"","","","","","html-button-response","10","2.0.0","96242","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","29199","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>take a walk</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","take a walk","think about something","jump up and down","<p style=""font-size: 20px;"">The ability to <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","11","2.0.0","98999","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","2756","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>sit down</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","sit down","experience pain","jump up and down","<p style=""font-size: 20px;"">The ability to <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","12","2.0.0","105041","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","6040","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>hear something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","hear something","take a walk","see something","<p style=""font-size: 20px;"">The ability to <strong>see something</strong></p>","","","","","",""
"","","","","","html-button-response","13","2.0.0","119870","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","14827","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>think about something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","think about something","take a walk","remember something","<p style=""font-size: 20px;"">The ability to <strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","14","2.0.0","123300","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","3428","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>remember something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","remember something","take a walk","think about something","<p style=""font-size: 20px;"">The ability to <strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","15","2.0.0","125996","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","2696","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get tired</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","get tired","jump up and down","feel scared","<p style=""font-size: 20px;"">The ability to <strong>feel scared</strong></p>","","","","","",""
"","","","","","html-button-response","16","2.0.0","134778","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","8780","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>reach for something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","reach for something","become hungry","kick something","<p style=""font-size: 20px;"">The ability to <strong>kick something</strong></p>","","","","","",""
"","","","","","html-button-response","17","2.0.0","137624","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","2845","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>experience pain</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","experience pain","kick something","feel scared","<p style=""font-size: 20px;"">The ability to <strong>feel scared</strong></p>","","","","","",""
"","","","","","html-button-response","18","2.0.0","177211","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","39585","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>see something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","see something","take a walk","hear something","<p style=""font-size: 20px;"">The ability to <strong>hear something</strong></p>","","","","","",""
"","","","","","instructions","19","2.0.0","185694","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","","8482","","","[{""page_index"":0,""viewing_time"":8482}]","","","","","","","","","","",""
"","","","","","survey-html-form","20","2.0.0","223336","CE9587BB11034485A452A9FCF656A08D","a3c09e80-fa06-4f8d-8c43-a215af11ed25","6ff407c9-ec46-4f43-bd76-d89747851545","demographics_survey","37632","","{""feedback"":""I just went with what I thought fit best in my view."",""age"":""37"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}","","","","","","","","I just went with what I thought fit best in my view.","37","Non-Hispanic","Male","White"
