"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","similarity_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","5","2CF1611F97FB4EDB92812FC173C05D5E","aed8b7c7-ad48-4f0b-a052-9662e12f9c9a","6ff407c9-ec46-4f43-bd76-d89747851545","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","5040","2CF1611F97FB4EDB92812FC173C05D5E","aed8b7c7-ad48-4f0b-a052-9662e12f9c9a","6ff407c9-ec46-4f43-bd76-d89747851545","consent","5033","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 4 minutes, your payment will amount to $1.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","14837","2CF1611F97FB4EDB92812FC173C05D5E","aed8b7c7-ad48-4f0b-a052-9662e12f9c9a","6ff407c9-ec46-4f43-bd76-d89747851545","","9793","","","[{""page_index"":0,""viewing_time"":9793}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.0.0","26738","2CF1611F97FB4EDB92812FC173C05D5E","aed8b7c7-ad48-4f0b-a052-9662e12f9c9a","6ff407c9-ec46-4f43-bd76-d89747851545","","11898","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>remember something</strong>?</p>","1","","intervention","remember something","take a walk","think about something","<p style=""font-size: 20px;"">I would make them <strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.0.0","29792","2CF1611F97FB4EDB92812FC173C05D5E","aed8b7c7-ad48-4f0b-a052-9662e12f9c9a","6ff407c9-ec46-4f43-bd76-d89747851545","","3052","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>feel scared</strong>?</p>","0","","intervention","feel scared","see something","become hungry","<p style=""font-size: 20px;"">I would make them <strong>see something</strong></p>","","","","","",""
"","","","","","html-button-response","5","2.0.0","33375","2CF1611F97FB4EDB92812FC173C05D5E","aed8b7c7-ad48-4f0b-a052-9662e12f9c9a","6ff407c9-ec46-4f43-bd76-d89747851545","","3581","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>sit down</strong>?</p>","0","","intervention","sit down","experience pain","jump up and down","<p style=""font-size: 20px;"">I would make them <strong>experience pain</strong></p>","","","","","",""
"","","","","","html-button-response","6","2.0.0","35970","2CF1611F97FB4EDB92812FC173C05D5E","aed8b7c7-ad48-4f0b-a052-9662e12f9c9a","6ff407c9-ec46-4f43-bd76-d89747851545","","2593","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>reach for something</strong>?</p>","1","","intervention","reach for something","become hungry","kick something","<p style=""font-size: 20px;"">I would make them <strong>become hungry</strong></p>","","","","","",""
"","","","","","html-button-response","7","2.0.0","46536","2CF1611F97FB4EDB92812FC173C05D5E","aed8b7c7-ad48-4f0b-a052-9662e12f9c9a","6ff407c9-ec46-4f43-bd76-d89747851545","","10563","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>choose what to do</strong>?</p>","1","","intervention","choose what to do","feel scared","remember something","<p style=""font-size: 20px;"">I would make them <strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.0.0","48715","2CF1611F97FB4EDB92812FC173C05D5E","aed8b7c7-ad48-4f0b-a052-9662e12f9c9a","6ff407c9-ec46-4f43-bd76-d89747851545","","2176","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>get tired</strong>?</p>","0","","intervention","get tired","jump up and down","feel scared","<p style=""font-size: 20px;"">I would make them <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.0.0","51639","2CF1611F97FB4EDB92812FC173C05D5E","aed8b7c7-ad48-4f0b-a052-9662e12f9c9a","6ff407c9-ec46-4f43-bd76-d89747851545","","2922","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>experience pain</strong>?</p>","0","","intervention","experience pain","kick something","feel scared","<p style=""font-size: 20px;"">I would make them <strong>kick something</strong></p>","","","","","",""
