"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","similarity_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","3","CFBE20EC6E4744BC92E8931E1AB606B7","230ef40d-fe41-4e87-be8b-9fa67e3874ba","6ff407c9-ec46-4f43-bd76-d89747851545","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","6580","CFBE20EC6E4744BC92E8931E1AB606B7","230ef40d-fe41-4e87-be8b-9fa67e3874ba","6ff407c9-ec46-4f43-bd76-d89747851545","consent","6574","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 4 minutes, your payment will amount to $1.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","12630","CFBE20EC6E4744BC92E8931E1AB606B7","230ef40d-fe41-4e87-be8b-9fa67e3874ba","6ff407c9-ec46-4f43-bd76-d89747851545","","6047","","","[{""page_index"":0,""viewing_time"":6047}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.0.0","28482","CFBE20EC6E4744BC92E8931E1AB606B7","230ef40d-fe41-4e87-be8b-9fa67e3874ba","6ff407c9-ec46-4f43-bd76-d89747851545","","15849","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>reach for something</strong>?</p>","1","","intervention","reach for something","become hungry","kick something","<p style=""font-size: 20px;"">I would make them <strong>kick something</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.0.0","35690","CFBE20EC6E4744BC92E8931E1AB606B7","230ef40d-fe41-4e87-be8b-9fa67e3874ba","6ff407c9-ec46-4f43-bd76-d89747851545","","7203","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>take a walk</strong>?</p>","1","","intervention","take a walk","think about something","jump up and down","<p style=""font-size: 20px;"">I would make them <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","5","2.0.0","39177","CFBE20EC6E4744BC92E8931E1AB606B7","230ef40d-fe41-4e87-be8b-9fa67e3874ba","6ff407c9-ec46-4f43-bd76-d89747851545","","3483","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>become hungry</strong>?</p>","0","","intervention","become hungry","take a walk","experience pain","<p style=""font-size: 20px;"">I would make them <strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","6","2.0.0","43544","CFBE20EC6E4744BC92E8931E1AB606B7","230ef40d-fe41-4e87-be8b-9fa67e3874ba","6ff407c9-ec46-4f43-bd76-d89747851545","","4364","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>sit down</strong>?</p>","0","","intervention","sit down","experience pain","jump up and down","<p style=""font-size: 20px;"">I would make them <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","7","2.0.0","47337","CFBE20EC6E4744BC92E8931E1AB606B7","230ef40d-fe41-4e87-be8b-9fa67e3874ba","6ff407c9-ec46-4f43-bd76-d89747851545","","3786","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>remember something</strong>?</p>","1","","intervention","remember something","take a walk","think about something","<p style=""font-size: 20px;"">I would make them <strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.0.0","49978","CFBE20EC6E4744BC92E8931E1AB606B7","230ef40d-fe41-4e87-be8b-9fa67e3874ba","6ff407c9-ec46-4f43-bd76-d89747851545","","2637","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>get tired</strong>?</p>","0","","intervention","get tired","jump up and down","feel scared","<p style=""font-size: 20px;"">I would make them <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.0.0","54540","CFBE20EC6E4744BC92E8931E1AB606B7","230ef40d-fe41-4e87-be8b-9fa67e3874ba","6ff407c9-ec46-4f43-bd76-d89747851545","","4556","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>experience pain</strong>?</p>","0","","intervention","experience pain","kick something","feel scared","<p style=""font-size: 20px;"">I would make them <strong>kick something</strong></p>","","","","","",""
"","","","","","html-button-response","10","2.0.0","59966","CFBE20EC6E4744BC92E8931E1AB606B7","230ef40d-fe41-4e87-be8b-9fa67e3874ba","6ff407c9-ec46-4f43-bd76-d89747851545","","5422","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>feel scared</strong>?</p>","1","","intervention","feel scared","see something","become hungry","<p style=""font-size: 20px;"">I would make them <strong>become hungry</strong></p>","","","","","",""
"","","","","","html-button-response","11","2.0.0","66739","CFBE20EC6E4744BC92E8931E1AB606B7","230ef40d-fe41-4e87-be8b-9fa67e3874ba","6ff407c9-ec46-4f43-bd76-d89747851545","","6770","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>jump up and down</strong>?</p>","1","","intervention","jump up and down","think about something","sit down","<p style=""font-size: 20px;"">I would make them <strong>think about something</strong></p>","","","","","",""
