"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","itemA","itemB","categoryA","categoryB","slider_start","correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","3","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","26744","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","consent","26487","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","33610","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","","6612","","","[{""page_index"":0,""viewing_time"":6612}]","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.0.0","64983","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_1","31117","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling hungry</strong>
                   <span style=""font-size: 32px"">and <strong>remembering something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling hungry</strong> and <strong>remembering something</strong>?</span></p>","0","","feel hungry","remember something","bio","cog","50","","","","","",""
"","","","","","html-slider-response","4","2.0.0","94167","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_2","28931","<p style=""font-size: 32px;"">Consider these two events: <strong>choosing what to do</strong>
                   <span style=""font-size: 32px"">and <strong>remembering something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>choosing what to do</strong> and <strong>remembering something</strong>?</span></p>","75","","choose what to do","remember something","cog","cog","50","","","","","",""
"","","","","","html-slider-response","5","2.0.0","107130","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_3","12709","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling pain</strong>
                   <span style=""font-size: 32px"">and <strong>feeling sick</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling pain</strong> and <strong>feeling sick</strong>?</span></p>","86","","feel pain","feel sick","bio","bio","50","","","","","",""
"","","","","","html-slider-response","6","2.0.0","119830","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_4","12447","<p style=""font-size: 32px;"">Consider these two events: <strong>choosing what to do</strong>
                   <span style=""font-size: 32px"">and <strong>thinking about something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>choosing what to do</strong> and <strong>thinking about something</strong>?</span></p>","93","","choose what to do","think about something","cog","cog","50","","","","","",""
"","","","","","html-slider-response","7","2.0.0","131203","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_5","11121","<p style=""font-size: 32px;"">Consider these two events: <strong>jumping up and down</strong>
                   <span style=""font-size: 32px"">and <strong>feeling sick</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>jumping up and down</strong> and <strong>feeling sick</strong>?</span></p>","11","","jump up and down","feel sick","act","bio","50","","","","","",""
"","","","","","html-slider-response","8","2.0.0","142285","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_6","10828","<p style=""font-size: 32px;"">Consider these two events: <strong>sitting down</strong>
                   <span style=""font-size: 32px"">and <strong>seeing something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>sitting down</strong> and <strong>seeing something</strong>?</span></p>","0","","sit down","see something","act","cog","50","","","","","",""
"","","","","","html-slider-response","9","2.0.0","152473","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_7","9934","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling sick</strong>
                   <span style=""font-size: 32px"">and <strong>jumping up and down</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling sick</strong> and <strong>jumping up and down</strong>?</span></p>","0","","feel sick","jump up and down","bio","act","50","","","","","",""
"","","","","","html-slider-response","10","2.0.0","167637","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_8","14910","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling scared</strong>
                   <span style=""font-size: 32px"">and <strong>hearing something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling scared</strong> and <strong>hearing something</strong>?</span></p>","55","","feel scared","hear something","bio","cog","50","","","","","",""
"","","","","","html-slider-response","11","2.0.0","177891","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_9","10000","<p style=""font-size: 32px;"">Consider these two events: <strong>kicking something</strong>
                   <span style=""font-size: 32px"">and <strong>hearing something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>kicking something</strong> and <strong>hearing something</strong>?</span></p>","0","","kick something","hear something","act","cog","50","","","","","",""
"","","","","","html-slider-response","12","2.0.0","188462","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_10","10317","<p style=""font-size: 32px;"">Consider these two events: <strong>seeing something</strong>
                   <span style=""font-size: 32px"">and <strong>jumping up and down</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>seeing something</strong> and <strong>jumping up and down</strong>?</span></p>","0","","see something","jump up and down","cog","act","50","","","","","",""
"","","","","","html-slider-response","13","2.0.0","200269","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_11","11552","<p style=""font-size: 32px;"">Consider these two events: <strong>choosing what to do</strong>
                   <span style=""font-size: 32px"">and <strong>jumping up and down</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>choosing what to do</strong> and <strong>jumping up and down</strong>?</span></p>","26","","choose what to do","jump up and down","cog","act","50","","","","","",""
"","","","","","html-slider-response","14","2.0.0","210682","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_12","10159","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling hungry</strong>
                   <span style=""font-size: 32px"">and <strong>thinking about something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling hungry</strong> and <strong>thinking about something</strong>?</span></p>","50","","feel hungry","think about something","bio","cog","50","","","","","",""
"","","","","","html-slider-response","15","2.0.0","216466","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_13","5530","<p style=""font-size: 32px;"">Consider these two events: <strong>taking a walk</strong>
                   <span style=""font-size: 32px"">and <strong>sitting down</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>taking a walk</strong> and <strong>sitting down</strong>?</span></p>","0","","take a walk","sit down","act","act","50","","","","","",""
"","","","","","html-slider-response","16","2.0.0","227970","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_14","11250","<p style=""font-size: 32px;"">Consider these two events: <strong>kicking something</strong>
                   <span style=""font-size: 32px"">and <strong>feeling tired</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>kicking something</strong> and <strong>feeling tired</strong>?</span></p>","34","","kick something","feel tired","act","bio","50","","","","","",""
"","","","","","html-slider-response","17","2.0.0","238616","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_15","10392","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling sick</strong>
                   <span style=""font-size: 32px"">and <strong>feeling hungry</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling sick</strong> and <strong>feeling hungry</strong>?</span></p>","69","","feel sick","feel hungry","bio","bio","50","","","","","",""
"","","","","","html-slider-response","18","2.0.0","250295","5FE966006AB04985854AE24200956D7B","517ffb85-ffd5-4ed7-9476-9e6f111472a8","c72916f4-d2a6-4645-aec0-536d47cf012a","attention_check_1","11425","<p style=""font-size: 32px;"">This is a&nbsp;&nbsp;<strong>check.</strong>&nbsp;&nbsp;Please move the slider all the way to the&nbsp;&nbsp;<strong>left</strong></p>","0","","","","","","50","true","","","","",""
