"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","itemA","itemB","categoryA","categoryB","slider_start","correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","13","DF3C6E3D43F44506996424896DBEB589","e6c1268d-210d-46ab-991f-5cd8776aead9","c72916f4-d2a6-4645-aec0-536d47cf012a","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","12883","DF3C6E3D43F44506996424896DBEB589","e6c1268d-210d-46ab-991f-5cd8776aead9","c72916f4-d2a6-4645-aec0-536d47cf012a","consent","12604","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","22622","DF3C6E3D43F44506996424896DBEB589","e6c1268d-210d-46ab-991f-5cd8776aead9","c72916f4-d2a6-4645-aec0-536d47cf012a","","9482","","","[{""page_index"":0,""viewing_time"":9482}]","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.0.0","30619","DF3C6E3D43F44506996424896DBEB589","e6c1268d-210d-46ab-991f-5cd8776aead9","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_1","7714","<p style=""font-size: 32px;"">Consider these two events: <strong>seeing something</strong>
                   <span style=""font-size: 32px"">and <strong>choosing what to do</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>seeing something</strong> and <strong>choosing what to do</strong>?</span></p>","69","","see something","choose what to do","cog","cog","50","","","","","",""
"","","","","","html-slider-response","4","2.0.0","43565","DF3C6E3D43F44506996424896DBEB589","e6c1268d-210d-46ab-991f-5cd8776aead9","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_2","12693","<p style=""font-size: 32px;"">Consider these two events: <strong>seeing something</strong>
                   <span style=""font-size: 32px"">and <strong>jumping up and down</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>seeing something</strong> and <strong>jumping up and down</strong>?</span></p>","39","","see something","jump up and down","cog","act","50","","","","","",""
"","","","","","html-slider-response","5","2.0.0","51626","DF3C6E3D43F44506996424896DBEB589","e6c1268d-210d-46ab-991f-5cd8776aead9","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_3","7804","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling hungry</strong>
                   <span style=""font-size: 32px"">and <strong>remembering something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling hungry</strong> and <strong>remembering something</strong>?</span></p>","27","","feel hungry","remember something","bio","cog","50","","","","","",""
"","","","","","html-slider-response","6","2.0.0","58479","DF3C6E3D43F44506996424896DBEB589","e6c1268d-210d-46ab-991f-5cd8776aead9","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_4","6590","<p style=""font-size: 32px;"">Consider these two events: <strong>taking a walk</strong>
                   <span style=""font-size: 32px"">and <strong>sitting down</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>taking a walk</strong> and <strong>sitting down</strong>?</span></p>","68","","take a walk","sit down","act","act","50","","","","","",""
"","","","","","html-slider-response","7","2.0.0","65796","DF3C6E3D43F44506996424896DBEB589","e6c1268d-210d-46ab-991f-5cd8776aead9","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_5","7060","<p style=""font-size: 32px;"">Consider these two events: <strong>sitting down</strong>
                   <span style=""font-size: 32px"">and <strong>seeing something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>sitting down</strong> and <strong>seeing something</strong>?</span></p>","79","","sit down","see something","act","cog","50","","","","","",""
"","","","","","html-slider-response","8","2.0.0","71738","DF3C6E3D43F44506996424896DBEB589","e6c1268d-210d-46ab-991f-5cd8776aead9","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_6","5680","<p style=""font-size: 32px;"">Consider these two events: <strong>hearing something</strong>
                   <span style=""font-size: 32px"">and <strong>feeling hungry</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>hearing something</strong> and <strong>feeling hungry</strong>?</span></p>","26","","hear something","feel hungry","cog","bio","50","","","","","",""
"","","","","","html-slider-response","9","2.0.0","76903","DF3C6E3D43F44506996424896DBEB589","e6c1268d-210d-46ab-991f-5cd8776aead9","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_7","4912","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling tired</strong>
                   <span style=""font-size: 32px"">and <strong>seeing something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling tired</strong> and <strong>seeing something</strong>?</span></p>","5","","feel tired","see something","bio","cog","50","","","","","",""
