"filename","trial_type","trial_type_order","trial_index","question_index","response","itemA","itemB","categoryA","categoryB","attention_check","correct_response","original_trial_index","original_question_index","x","y","item"
"2024-12-11_14-30-23_BA4EF214B91B4AD190868670C4CC1F5A.csv","causation","first",1,1,100,"reach for something","think about something","physical","cognitive",FALSE,NA,4,"0",NA,NA,NA
"2024-12-11_14-30-23_BA4EF214B91B4AD190868670C4CC1F5A.csv","causation","first",1,2,100,"feel sick","think about something","physiological","cognitive",FALSE,NA,4,"1",NA,NA,NA
"2024-12-11_14-30-23_BA4EF214B91B4AD190868670C4CC1F5A.csv","causation","first",1,3,100,"feel tired","think about something","physiological","cognitive",FALSE,NA,4,"2",NA,NA,NA
"2024-12-11_14-30-23_BA4EF214B91B4AD190868670C4CC1F5A.csv","causation","first",1,4,100,"choose what to do","think about something","cognitive","cognitive",FALSE,NA,4,"3",NA,NA,NA
"2024-12-11_14-30-23_BA4EF214B91B4AD190868670C4CC1F5A.csv","causation","first",1,5,100,"feel pain","think about something","physiological","cognitive",FALSE,NA,4,"4",NA,NA,NA
"2024-12-11_14-30-23_BA4EF214B91B4AD190868670C4CC1F5A.csv","causation","first",1,6,100,"kick something","think about something","physical","cognitive",FALSE,NA,4,"5",NA,NA,NA
"2024-12-11_14-30-23_BA4EF214B91B4AD190868670C4CC1F5A.csv","causation","first",1,7,100,"think about something","think about something","cognitive","cognitive",FALSE,NA,4,"6",NA,NA,NA
"2024-12-11_14-30-23_BA4EF214B91B4AD190868670C4CC1F5A.csv","causation","first",1,8,75,"jump up and down","think about something","physical","cognitive",FALSE,NA,4,"7",NA,NA,NA
"2024-12-11_14-30-23_BA4EF214B91B4AD190868670C4CC1F5A.csv","causation","first",1,9,100,"hear something","think about something","cognitive","cognitive",FALSE,NA,4,"8",NA,NA,NA
"2024-12-11_14-30-23_BA4EF214B91B4AD190868670C4CC1F5A.csv","causation","first",1,10,75,"sit down","think about something","physical","cognitive",FALSE,NA,4,"9",NA,NA,NA
"2024-12-11_14-30-23_BA4EF214B91B4AD190868670C4CC1F5A.csv","causation","first",1,11,100,"feel scared","think about something","physiological","cognitive",FALSE,NA,4,"10",NA,NA,NA
"2024-12-11_14-30-23_BA4EF214B91B4AD190868670C4CC1F5A.csv","causation","first",1,12,100,"remember something","think about something","cognitive","cognitive",FALSE,NA,4,"11",NA,NA,NA
"2024-12-11_14-30-23_BA4EF214B91B4AD190868670C4CC1F5A.csv","causation","first",1,13,100,"see something","think about something","cognitive","cognitive",FALSE,NA,4,"12",NA,NA,NA
"2024-12-11_14-30-23_BA4EF214B91B4AD190868670C4CC1F5A.csv","causation","first",1,14,75,"take a walk","think about something","physical","cognitive",FALSE,NA,4,"13",NA,NA,NA
