"causal_itemA","similarity_itemA","itemB","min_causal_dissimilarity_causalAitemB","corr_emp_euclidean_causalAitemB","mean_mean_itemB_causal_dissimilarity","mean_itemB_emp_euclidean","corr_causal_dissimilarity_simAitemB","min_emp_euclidean_simAitemB"
"take a walk","get tired","become hungry",0.1848,0.596913624105401,0.467657142857143,0.518710935796445,0.4224,0.293235113468996
"think about something","remember something","choose what to do",0.1304,0.347509272469103,0.284471428571429,0.47194962295925,0.1472,0.3438132095134
"get sick","get sick","experience pain",0.0814,0.238378850889331,0.321471428571429,0.517983089951248,0.0814,0.238378850889331
"hear something","experience pain","feel scared",0.1102,0.480924597073153,0.356642857142857,0.521494581423142,0.1302,0.308265955072664
"experience pain","experience pain","get sick",0.23,0.238378850889331,0.5114,0.527372512292948,0.23,0.238378850889331
"jump up and down","become hungry","get tired",0.1068,0.556268894956896,0.358285714285714,0.505211681667533,0.3376,0.293235113468996
"take a walk","see something","hear something",0.2706,0.611037866266411,0.487371428571429,0.500410707452547,0.4146,0.203152377143195
"see something","take a walk","jump up and down",0.3148,0.605894883584885,0.519071428571429,0.51447712813936,0.649,0.266495803794806
"feel scared","jump up and down","kick something",0.3398,0.583447783843204,0.513142857142857,0.51689869427952,0.5876,0.273284752579762
"see something","jump up and down","reach for something",0.1866,0.440230314307415,0.3641,0.502447172820323,0.5596,0.394141409044488
"think about something","think about something","remember something",0.0904,0.133836950925328,0.331657142857143,0.523078306103547,0.0904,0.133836950925328
"take a walk","hear something","see something",0.2418,0.624295988362361,0.449857142857143,0.519324573466539,0.4394,0.203152377143195
"get tired","jump up and down","sit down",0.097,0.459063383963962,0.3406,0.518456951566562,0.555,0.353817516690206
"think about something","jump up and down","take a walk",0.2588,0.635317251575883,0.5014,0.526998861739525,0.6872,0.266495803794806
"remember something","remember something","think about something",0.079,0.133836950925328,0.255771428571429,0.527436484743162,0.079,0.133836950925328
