"itemA","itemB","domain_itemA","domain_itemB","mean_causal_dissimilarity","mean_emp_euclidean","euclidean_minus_causal"
"become hungry","choose what to do","bio","mind",0.1846,0.482230247602271,0.297630247602271
"become hungry","experience pain","bio","bio",0.3128,0.412905006652675,0.100105006652675
"become hungry","feel scared","bio","bio",0.5994,0.492862597448041,-0.106537402551959
"become hungry","get sick","bio","bio",0.4418,0.388424526565381,-0.0533754734346188
"become hungry","get tired","bio","bio",0.3376,0.293235113468996,-0.0443648865310044
"become hungry","hear something","bio","mind",0.5942,0.54432344367892,-0.0498765563210796
"become hungry","jump up and down","bio","action",0.68,0.580182434554091,-0.0998175654459087
"become hungry","kick something","bio","action",0.6048,0.634243474936634,0.0294434749366337
"become hungry","reach for something","bio","action",0.1918,0.593413456637988,0.401613456637988
"become hungry","remember something","bio","mind",0.3812,0.561426324199988,0.180226324199988
"become hungry","see something","bio","mind",0.5706,0.595854122956788,0.0252541229567879
"become hungry","sit down","bio","action",0.3056,0.513011883470862,0.207411883470862
"become hungry","take a walk","bio","action",0.5096,0.596913624105401,0.0873136241054008
"become hungry","think about something","bio","mind",0.2184,0.572926844872196,0.354526844872196
"choose what to do","become hungry","mind","bio",0.5292,0.482230247602271,-0.0469697523977286
"choose what to do","experience pain","mind","bio",0.431,0.517722013674588,0.0867220136745876
"choose what to do","feel scared","mind","bio",0.3324,0.523334307293479,0.190934307293479
"choose what to do","get sick","mind","bio",0.5908,0.536885960582449,-0.0539140394175514
"choose what to do","get tired","mind","bio",0.3944,0.537790476241524,0.143390476241524
"choose what to do","hear something","mind","mind",0.5322,0.524251620545248,-0.00794837945475235
"choose what to do","jump up and down","mind","action",0.365,0.473119971313766,0.108119971313766
"choose what to do","kick something","mind","action",0.3968,0.503132301936836,0.106332301936836
"choose what to do","reach for something","mind","action",0.216,0.431116033621402,0.215116033621402
"choose what to do","remember something","mind","mind",0.2754,0.3438132095134,0.0684132095133997
"choose what to do","see something","mind","mind",0.4054,0.488578027726754,0.0831780277267536
"choose what to do","sit down","mind","action",0.2458,0.462667922980866,0.216867922980866
"choose what to do","take a walk","mind","action",0.2686,0.435143355927811,0.166543355927811
"choose what to do","think about something","mind","mind",0.1712,0.347509272469103,0.176309272469103
"experience pain","become hungry","bio","bio",0.643,0.412905006652675,-0.230094993347325
"experience pain","choose what to do","bio","mind",0.2232,0.517722013674588,0.294522013674588
"experience pain","feel scared","bio","bio",0.1302,0.308265955072664,0.178065955072664
"experience pain","get sick","bio","bio",0.23,0.238378850889331,0.0083788508893313
"experience pain","get tired","bio","bio",0.2518,0.411797389130826,0.159997389130826
"experience pain","hear something","bio","mind",0.507,0.573507137497542,0.0665071374975423
"experience pain","jump up and down","bio","action",0.3792,0.578977308426809,0.199777308426809
"experience pain","kick something","bio","action",0.3816,0.580241406449145,0.198641406449145
"experience pain","reach for something","bio","action",0.2858,0.578512133115316,0.292712133115316
"experience pain","remember something","bio","mind",0.3252,0.600032610492827,0.274832610492827
"experience pain","see something","bio","mind",0.492,0.62908669072944,0.13708669072944
"experience pain","sit down","bio","action",0.1454,0.583532275536793,0.438132275536793
"experience pain","take a walk","bio","action",0.5298,0.610350694956424,0.0805506949564244
"experience pain","think about something","bio","mind",0.2356,0.628453786693097,0.392853786693097
"feel scared","become hungry","bio","bio",0.6818,0.492862597448041,-0.188937402551959
"feel scared","choose what to do","bio","mind",0.1782,0.523334307293479,0.345134307293479
