"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","init_locations","moves","final_locations","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","question_order","15","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","484","90B2F4E19B8D45978C25F3E108B5DC4A","398e3e0f-b9d9-4c2b-acb6-d6e0d69c6cca","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","7990","90B2F4E19B8D45978C25F3E108B5DC4A","398e3e0f-b9d9-4c2b-acb6-d6e0d69c6cca","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","consent","7505","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 30 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 30 minutes, your payment will amount to $7.50.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","13937","90B2F4E19B8D45978C25F3E108B5DC4A","398e3e0f-b9d9-4c2b-acb6-d6e0d69c6cca","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","5946","","","[{""page_index"":0,""viewing_time"":5946}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","2.0.0","21170","90B2F4E19B8D45978C25F3E108B5DC4A","398e3e0f-b9d9-4c2b-acb6-d6e0d69c6cca","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","7231","","","[{""page_index"":0,""viewing_time"":7231}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-button-response","4","2.0.0","43781","90B2F4E19B8D45978C25F3E108B5DC4A","398e3e0f-b9d9-4c2b-acb6-d6e0d69c6cca","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","example_videos","22604","[""video/example-video-circles.mp4""]","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","free-sort","5","2.0.1","142388","90B2F4E19B8D45978C25F3E108B5DC4A","398e3e0f-b9d9-4c2b-acb6-d6e0d69c6cca","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","98605","","","","[{""src"":""images/items-circles/img6.png"",""x"":610.4166666666667,""y"":0},{""src"":""images/items-circles/img10.png"",""x"":-60.41666666666666,""y"":550},{""src"":""images/items-circles/img12.png"",""x"":610.4166666666667,""y"":183.33333333333334},{""src"":""images/items-circles/img13.png"",""x"":-60.41666666666666,""y"":366.6666666666667},{""src"":""images/items-circles/img8.png"",""x"":610.4166666666667,""y"":366.6666666666667},{""src"":""images/items-circles/img15.png"",""x"":-60.41666666666666,""y"":183.33333333333334},{""src"":""images/items-circles/img14.png"",""x"":610.4166666666667,""y"":550},{""src"":""images/items-circles/img7.png"",""x"":-60.41666666666666,""y"":0},{""src"":""images/items-circles/img3.png"",""x"":793.75,""y"":0},{""src"":""images/items-circles/img1.png"",""x"":-243.75,""y"":550},{""src"":""images/items-circles/img9.png"",""x"":793.75,""y"":183.33333333333334},{""src"":""images/items-circles/img5.png"",""x"":-243.75,""y"":366.6666666666667},{""src"":""images/items-circles/img11.png"",""x"":793.75,""y"":366.6666666666667},{""src"":""images/items-circles/img2.png"",""x"":-243.75,""y"":183.33333333333334},{""src"":""images/items-circles/img4.png"",""x"":793.75,""y"":550}]","[{""src"":""images/items-circles/img7.png"",""x"":186,""y"":108},{""src"":""images/items-circles/img2.png"",""x"":60,""y"":269},{""src"":""images/items-circles/img15.png"",""x"":191,""y"":286},{""src"":""images/items-circles/img13.png"",""x"":-60,""y"":367},{""src"":""images/items-circles/img13.png"",""x"":344,""y"":461},{""src"":""images/items-circles/img5.png"",""x"":175,""y"":413},{""src"":""images/items-circles/img10.png"",""x"":25,""y"":600},{""src"":""images/items-circles/img10.png"",""x"":61,""y"":600},{""src"":""images/items-circles/img10.png"",""x"":103,""y"":600},{""src"":""images/items-circles/img10.png"",""x"":103,""y"":600},{""src"":""images/items-circles/img10.png"",""x"":110,""y"":600},{""src"":""images/items-circles/img10.png"",""x"":-201,""y"":600},{""src"":""images/items-circles/img10.png"",""x"":-68,""y"":600},{""src"":""images/items-circles/img1.png"",""x"":35,""y"":600},{""src"":""images/items-circles/img6.png"",""x"":301,""y"":230},{""src"":""images/items-circles/img3.png"",""x"":494,""y"":294},{""src"":""images/items-circles/img12.png"",""x"":447,""y"":440},{""src"":""images/items-circles/img8.png"",""x"":483,""y"":182},{""src"":""images/items-circles/img9.png"",""x"":430,""y"":81},{""src"":""images/items-circles/img11.png"",""x"":389,""y"":345},{""src"":""images/items-circles/img14.png"",""x"":271,""y"":512},{""src"":""images/items-circles/img4.png"",""x"":70,""y"":399},{""src"":""images/items-circles/img1.png"",""x"":151,""y"":563},{""src"":""images/items-circles/img1.png"",""x"":281,""y"":381},{""src"":""images/items-circles/img10.png"",""x"":139,""y"":600},{""src"":""images/items-circles/img5.png"",""x"":144,""y"":446},{""src"":""images/items-circles/img10.png"",""x"":428,""y"":245}]","[{""src"":""images/items-circles/img6.png"",""x"":301,""y"":230},{""src"":""images/items-circles/img10.png"",""x"":428,""y"":245},{""src"":""images/items-circles/img12.png"",""x"":447,""y"":440},{""src"":""images/items-circles/img13.png"",""x"":344,""y"":461},{""src"":""images/items-circles/img8.png"",""x"":483,""y"":182},{""src"":""images/items-circles/img15.png"",""x"":191,""y"":286},{""src"":""images/items-circles/img14.png"",""x"":271,""y"":512},{""src"":""images/items-circles/img7.png"",""x"":186,""y"":108},{""src"":""images/items-circles/img3.png"",""x"":494,""y"":294},{""src"":""images/items-circles/img1.png"",""x"":281,""y"":381},{""src"":""images/items-circles/img9.png"",""x"":430,""y"":81},{""src"":""images/items-circles/img5.png"",""x"":144,""y"":446},{""src"":""images/items-circles/img11.png"",""x"":389,""y"":345},{""src"":""images/items-circles/img2.png"",""x"":60,""y"":269},{""src"":""images/items-circles/img4.png"",""x"":70,""y"":399}]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","2.0.0","147724","90B2F4E19B8D45978C25F3E108B5DC4A","398e3e0f-b9d9-4c2b-acb6-d6e0d69c6cca","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","5334","","","[{""page_index"":0,""viewing_time"":5334}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-slider","7","null","212987","90B2F4E19B8D45978C25F3E108B5DC4A","398e3e0f-b9d9-4c2b-acb6-d6e0d69c6cca","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","65254.69999998808","","{""Q0"":""75"",""Q1"":""81"",""Q2"":""55"",""Q3"":""53"",""Q4"":""63"",""Q5"":""67"",""Q6"":""37"",""Q7"":""53"",""Q8"":""61"",""Q9"":""47"",""Q10"":""54"",""Q11"":""45"",""Q12"":""64"",""Q13"":""70"",""Q14"":""64""}","","","","","{""itemA"":""remember something"",""itemB"":""remember something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""think about something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""kick something"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""get tired"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""take a walk"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""choose what to do"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""hear something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""get sick"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""sit down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""see something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""jump up and down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""become hungry"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""experience pain"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""feel scared"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""reach for something"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
"","","","","","survey-slider","8","null","260183","90B2F4E19B8D45978C25F3E108B5DC4A","398e3e0f-b9d9-4c2b-acb6-d6e0d69c6cca","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","47190.5","","{""Q0"":""66"",""Q1"":""56"",""Q2"":""77"",""Q3"":""51"",""Q4"":""60"",""Q5"":""54"",""Q6"":""52"",""Q7"":""56"",""Q8"":""65"",""Q9"":""63"",""Q10"":""44"",""Q11"":""77"",""Q12"":""62"",""Q13"":""68"",""Q14"":""59""}","","","","","{""itemA"":""take a walk"",""itemB"":""experience pain"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""reach for something"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""see something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""take a walk"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""think about something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""jump up and down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""get sick"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""feel scared"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""remember something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""hear something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""sit down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""get tired"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""choose what to do"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""become hungry"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""kick something"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
"","","","","","survey-slider","9","null","308575","90B2F4E19B8D45978C25F3E108B5DC4A","398e3e0f-b9d9-4c2b-acb6-d6e0d69c6cca","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","48387.10000002384","","{""Q0"":""43"",""Q1"":""53"",""Q2"":""69"",""Q3"":""64"",""Q4"":""55"",""Q5"":""63"",""Q6"":""71"",""Q7"":""65"",""Q8"":""71"",""Q9"":""58"",""Q10"":""65"",""Q11"":""60"",""Q12"":""71"",""Q13"":""62"",""Q14"":""53""}","","","","","{""itemA"":""think about something"",""itemB"":""hear something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""think about something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""feel scared"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""take a walk"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""see something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""choose what to do"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""experience pain"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""kick something"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""remember something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""jump up and down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""become hungry"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""get tired"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""sit down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""reach for something"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""get sick"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
