"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","init_locations","moves","final_locations","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","question_order","15","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","1388","49A493BAFD1E4102B996623AAC98CE9B","3f80843a-f05d-476e-90f6-ed4111e8ca71","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","13515","49A493BAFD1E4102B996623AAC98CE9B","3f80843a-f05d-476e-90f6-ed4111e8ca71","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","consent","12125","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 30 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 30 minutes, your payment will amount to $7.50.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","15776","49A493BAFD1E4102B996623AAC98CE9B","3f80843a-f05d-476e-90f6-ed4111e8ca71","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","2261","","","[{""page_index"":0,""viewing_time"":2261}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","2.0.0","21268","49A493BAFD1E4102B996623AAC98CE9B","3f80843a-f05d-476e-90f6-ed4111e8ca71","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","5491","","","[{""page_index"":0,""viewing_time"":5491}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-button-response","4","2.0.0","44514","49A493BAFD1E4102B996623AAC98CE9B","3f80843a-f05d-476e-90f6-ed4111e8ca71","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","example_videos","23244","[""video/example-video-circles.mp4""]","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","free-sort","5","2.0.1","114838","49A493BAFD1E4102B996623AAC98CE9B","3f80843a-f05d-476e-90f6-ed4111e8ca71","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","70323","","","","[{""src"":""images/items-circles/img1.png"",""x"":610.4166666666667,""y"":0},{""src"":""images/items-circles/img3.png"",""x"":-60.41666666666666,""y"":550},{""src"":""images/items-circles/img12.png"",""x"":610.4166666666667,""y"":183.33333333333334},{""src"":""images/items-circles/img6.png"",""x"":-60.41666666666666,""y"":366.6666666666667},{""src"":""images/items-circles/img14.png"",""x"":610.4166666666667,""y"":366.6666666666667},{""src"":""images/items-circles/img8.png"",""x"":-60.41666666666666,""y"":183.33333333333334},{""src"":""images/items-circles/img15.png"",""x"":610.4166666666667,""y"":550},{""src"":""images/items-circles/img9.png"",""x"":-60.41666666666666,""y"":0},{""src"":""images/items-circles/img7.png"",""x"":793.75,""y"":0},{""src"":""images/items-circles/img4.png"",""x"":-243.75,""y"":550},{""src"":""images/items-circles/img10.png"",""x"":793.75,""y"":183.33333333333334},{""src"":""images/items-circles/img13.png"",""x"":-243.75,""y"":366.6666666666667},{""src"":""images/items-circles/img5.png"",""x"":793.75,""y"":366.6666666666667},{""src"":""images/items-circles/img11.png"",""x"":-243.75,""y"":183.33333333333334},{""src"":""images/items-circles/img2.png"",""x"":793.75,""y"":550}]","[{""src"":""images/items-circles/img11.png"",""x"":104,""y"":118},{""src"":""images/items-circles/img13.png"",""x"":122,""y"":396},{""src"":""images/items-circles/img6.png"",""x"":382,""y"":111},{""src"":""images/items-circles/img12.png"",""x"":181,""y"":367},{""src"":""images/items-circles/img14.png"",""x"":190,""y"":430},{""src"":""images/items-circles/img10.png"",""x"":152,""y"":118},{""src"":""images/items-circles/img8.png"",""x"":83,""y"":182},{""src"":""images/items-circles/img9.png"",""x"":153,""y"":173},{""src"":""images/items-circles/img2.png"",""x"":127,""y"":54},{""src"":""images/items-circles/img1.png"",""x"":413,""y"":283},{""src"":""images/items-circles/img5.png"",""x"":431,""y"":116},{""src"":""images/items-circles/img7.png"",""x"":396,""y"":61},{""src"":""images/items-circles/img3.png"",""x"":403,""y"":166},{""src"":""images/items-circles/img1.png"",""x"":404,""y"":384},{""src"":""images/items-circles/img15.png"",""x"":241,""y"":383},{""src"":""images/items-circles/img4.png"",""x"":478,""y"":177},{""src"":""images/items-circles/img9.png"",""x"":153,""y"":173},{""src"":""images/items-circles/img9.png"",""x"":165,""y"":206},{""src"":""images/items-circles/img8.png"",""x"":63,""y"":217},{""src"":""images/items-circles/img11.png"",""x"":75,""y"":149},{""src"":""images/items-circles/img10.png"",""x"":136,""y"":145},{""src"":""images/items-circles/img1.png"",""x"":200,""y"":104}]","[{""src"":""images/items-circles/img1.png"",""x"":200,""y"":104},{""src"":""images/items-circles/img3.png"",""x"":403,""y"":166},{""src"":""images/items-circles/img12.png"",""x"":181,""y"":367},{""src"":""images/items-circles/img6.png"",""x"":382,""y"":111},{""src"":""images/items-circles/img14.png"",""x"":190,""y"":430},{""src"":""images/items-circles/img8.png"",""x"":63,""y"":217},{""src"":""images/items-circles/img15.png"",""x"":241,""y"":383},{""src"":""images/items-circles/img9.png"",""x"":165,""y"":206},{""src"":""images/items-circles/img7.png"",""x"":396,""y"":61},{""src"":""images/items-circles/img4.png"",""x"":478,""y"":177},{""src"":""images/items-circles/img10.png"",""x"":136,""y"":145},{""src"":""images/items-circles/img13.png"",""x"":122,""y"":396},{""src"":""images/items-circles/img5.png"",""x"":431,""y"":116},{""src"":""images/items-circles/img11.png"",""x"":75,""y"":149},{""src"":""images/items-circles/img2.png"",""x"":127,""y"":54}]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","6","2.0.0","118596","49A493BAFD1E4102B996623AAC98CE9B","3f80843a-f05d-476e-90f6-ed4111e8ca71","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","3757","","","[{""page_index"":0,""viewing_time"":3757}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-slider","7","null","162207","49A493BAFD1E4102B996623AAC98CE9B","3f80843a-f05d-476e-90f6-ed4111e8ca71","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","43606.40000000596","","{""Q0"":""75"",""Q1"":""84"",""Q2"":""85"",""Q3"":""84"",""Q4"":""50"",""Q5"":""100"",""Q6"":""100"",""Q7"":""100"",""Q8"":""81"",""Q9"":""50"",""Q10"":""100"",""Q11"":""100"",""Q12"":""78"",""Q13"":""50"",""Q14"":""100""}","","","","","{""itemA"":""hear something"",""itemB"":""see something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""jump up and down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""kick something"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""remember something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""become hungry"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""think about something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""experience pain"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""hear something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""choose what to do"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""get sick"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""feel scared"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""sit down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""take a walk"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""get tired"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""reach for something"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
"","","","","","survey-slider","8","null","208761","49A493BAFD1E4102B996623AAC98CE9B","3f80843a-f05d-476e-90f6-ed4111e8ca71","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","46549.29999998212","","{""Q0"":""27"",""Q1"":""76"",""Q2"":""76"",""Q3"":""75"",""Q4"":""100"",""Q5"":""50"",""Q6"":""25"",""Q7"":""28"",""Q8"":""92"",""Q9"":""50"",""Q10"":""78"",""Q11"":""100"",""Q12"":""25"",""Q13"":""27"",""Q14"":""25""}","","","","","{""itemA"":""kick something"",""itemB"":""get sick"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""choose what to do"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""think about something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""remember something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""experience pain"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""take a walk"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""see something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""hear something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""get tired"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""become hungry"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""feel scared"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""kick something"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""sit down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""reach for something"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""jump up and down"",""categoryA"":""physical"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
"","","","","","survey-slider","9","null","248479","49A493BAFD1E4102B996623AAC98CE9B","3f80843a-f05d-476e-90f6-ed4111e8ca71","c9908d3c-c6c0-4ff0-8197-ad6b853728e6","","39714.60000002384","","{""Q0"":""100"",""Q1"":""96"",""Q2"":""96"",""Q3"":""99"",""Q4"":""100"",""Q5"":""100"",""Q6"":""100"",""Q7"":""100"",""Q8"":""86"",""Q9"":""100"",""Q10"":""79"",""Q11"":""100"",""Q12"":""76"",""Q13"":""76"",""Q14"":""50""}","","","","","{""itemA"":""choose what to do"",""itemB"":""jump up and down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""hear something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""see something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""take a walk"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""reach for something"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""experience pain"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""think about something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""sit down"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""become hungry"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""kick something"",""categoryA"":""cognitive"",""categoryB"":""physical"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""remember something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""choose what to do"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""feel scared"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""get tired"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""get sick"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","",""
