"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","similarity_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","3","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","7188","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","consent","7184","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 4 minutes, your payment will amount to $1.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","22413","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","15224","","","[{""page_index"":0,""viewing_time"":15224}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.0.0","30007","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","7593","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>remember something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","remember something","take a walk","think about something","<p style=""font-size: 20px;"">The ability to <strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.0.0","36613","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","6606","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>kick something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","kick something","think about something","jump up and down","<p style=""font-size: 20px;"">The ability to <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","5","2.0.0","43277","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","6663","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>jump up and down</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","jump up and down","think about something","sit down","<p style=""font-size: 20px;"">The ability to <strong>sit down</strong></p>","","","","","",""
"","","","","","html-button-response","6","2.0.0","54561","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","11284","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get sick</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","get sick","see something","get tired","<p style=""font-size: 20px;"">The ability to <strong>see something</strong></p>","","","","","",""
"","","","","","html-button-response","7","2.0.0","63655","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","9094","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>hear something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","hear something","take a walk","see something","<p style=""font-size: 20px;"">The ability to <strong>see something</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.0.0","72383","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","8727","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>sit down</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","sit down","experience pain","jump up and down","<p style=""font-size: 20px;"">The ability to <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.0.0","75350","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","2967","<p style=""font-size: 25px;"">For this question, please select ""The ability to <strong>choose what to do</strong>""</p>","0","","attention_check","","","","The ability to choose what to do","choose what to do","","","","",""
"","","","","","html-button-response","10","2.0.0","87070","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","11720","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>feel scared</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","feel scared","see something","become hungry","<p style=""font-size: 20px;"">The ability to <strong>see something</strong></p>","","","","","",""
"","","","","","html-button-response","11","2.0.0","96297","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","9226","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>choose what to do</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","choose what to do","feel scared","remember something","<p style=""font-size: 20px;"">The ability to <strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","12","2.0.0","101042","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","4744","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>think about something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","think about something","take a walk","remember something","<p style=""font-size: 20px;"">The ability to <strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","13","2.0.0","106427","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","5385","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>experience pain</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","experience pain","kick something","feel scared","<p style=""font-size: 20px;"">The ability to <strong>feel scared</strong></p>","","","","","",""
"","","","","","html-button-response","14","2.0.0","111775","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","5347","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>become hungry</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","become hungry","take a walk","experience pain","<p style=""font-size: 20px;"">The ability to <strong>experience pain</strong></p>","","","","","",""
"","","","","","html-button-response","15","2.0.0","117803","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","6028","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>take a walk</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","take a walk","think about something","jump up and down","<p style=""font-size: 20px;"">The ability to <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","16","2.0.0","127995","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","10191","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>see something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","see something","take a walk","hear something","<p style=""font-size: 20px;"">The ability to <strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","17","2.0.0","134507","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","6512","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get tired</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","get tired","jump up and down","feel scared","<p style=""font-size: 20px;"">The ability to <strong>feel scared</strong></p>","","","","","",""
"","","","","","html-button-response","18","2.0.0","141019","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","6511","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>reach for something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","reach for something","become hungry","kick something","<p style=""font-size: 20px;"">The ability to <strong>kick something</strong></p>","","","","","",""
"","","","","","instructions","19","2.0.0","144791","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","","3772","","","[{""page_index"":0,""viewing_time"":3772}]","","","","","","","","","","",""
"","","","","","survey-html-form","20","2.0.0","187887","3684B7AA011B49AB851560B323FED266","d9d31bf5-dbd2-439d-a1da-e2e439f7abe4","6ff407c9-ec46-4f43-bd76-d89747851545","demographics_survey","43094","","{""feedback"":""I just kind of went with my gut instinct regarding what I think the creature would most likely be able to do."",""age"":""30"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}","","","","","","","","I just kind of went with my gut instinct regarding what I think the creature would most likely be able to do.","30","Non-Hispanic","Male","White"
