"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","itemB","causal_itemA","similarity_itemA","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","4","78A80DD289D442C09F8ED5FD1FE7D3A9","db863c62-7fe9-4d00-b44e-e41f656ac280","6ff407c9-ec46-4f43-bd76-d89747851545","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","12063","78A80DD289D442C09F8ED5FD1FE7D3A9","db863c62-7fe9-4d00-b44e-e41f656ac280","6ff407c9-ec46-4f43-bd76-d89747851545","consent","12058","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 4 minutes, your payment will amount to $1.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","18126","78A80DD289D442C09F8ED5FD1FE7D3A9","db863c62-7fe9-4d00-b44e-e41f656ac280","6ff407c9-ec46-4f43-bd76-d89747851545","","6063","","","[{""page_index"":0,""viewing_time"":6063}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.0.0","21287","78A80DD289D442C09F8ED5FD1FE7D3A9","db863c62-7fe9-4d00-b44e-e41f656ac280","6ff407c9-ec46-4f43-bd76-d89747851545","","3160","<p style=""font-size: 25px;"">For this question, please select ""The ability to <strong>choose what to do</strong>""</p>","0","","attention_check","choose what to do","The ability to choose what to do","","","","","","","",""
"","","","","","html-button-response","4","2.0.0","25694","78A80DD289D442C09F8ED5FD1FE7D3A9","db863c62-7fe9-4d00-b44e-e41f656ac280","6ff407c9-ec46-4f43-bd76-d89747851545","","4407","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>jump up and down</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>sit down</strong></p>","jump up and down","think about something","sit down","","","","",""
"","","","","","html-button-response","5","2.0.0","29046","78A80DD289D442C09F8ED5FD1FE7D3A9","db863c62-7fe9-4d00-b44e-e41f656ac280","6ff407c9-ec46-4f43-bd76-d89747851545","","3351","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>experience pain</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>feel scared</strong></p>","experience pain","kick something","feel scared","","","","",""
"","","","","","html-button-response","6","2.0.0","31935","78A80DD289D442C09F8ED5FD1FE7D3A9","db863c62-7fe9-4d00-b44e-e41f656ac280","6ff407c9-ec46-4f43-bd76-d89747851545","","2888","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>think about something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>remember something</strong></p>","think about something","take a walk","remember something","","","","",""
"","","","","","html-button-response","7","2.0.0","34910","78A80DD289D442C09F8ED5FD1FE7D3A9","db863c62-7fe9-4d00-b44e-e41f656ac280","6ff407c9-ec46-4f43-bd76-d89747851545","","2975","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>see something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>take a walk</strong></p>","see something","take a walk","hear something","","","","",""
"","","","","","html-button-response","8","2.0.0","37055","78A80DD289D442C09F8ED5FD1FE7D3A9","db863c62-7fe9-4d00-b44e-e41f656ac280","6ff407c9-ec46-4f43-bd76-d89747851545","","2144","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>hear something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>see something</strong></p>","hear something","take a walk","see something","","","","",""
"","","","","","html-button-response","9","2.0.0","38902","78A80DD289D442C09F8ED5FD1FE7D3A9","db863c62-7fe9-4d00-b44e-e41f656ac280","6ff407c9-ec46-4f43-bd76-d89747851545","","1847","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get tired</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>jump up and down</strong></p>","get tired","jump up and down","feel scared","","","","",""
"","","","","","html-button-response","10","2.0.0","41262","78A80DD289D442C09F8ED5FD1FE7D3A9","db863c62-7fe9-4d00-b44e-e41f656ac280","6ff407c9-ec46-4f43-bd76-d89747851545","","2359","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>sit down</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>jump up and down</strong></p>","sit down","experience pain","jump up and down","","","","",""
"","","","","","html-button-response","11","2.0.0","43774","78A80DD289D442C09F8ED5FD1FE7D3A9","db863c62-7fe9-4d00-b44e-e41f656ac280","6ff407c9-ec46-4f43-bd76-d89747851545","","2511","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>remember something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>think about something</strong></p>","remember something","take a walk","think about something","","","","",""
"","","","","","html-button-response","12","2.0.0","46158","78A80DD289D442C09F8ED5FD1FE7D3A9","db863c62-7fe9-4d00-b44e-e41f656ac280","6ff407c9-ec46-4f43-bd76-d89747851545","","2383","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>reach for something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>become hungry</strong></p>","reach for something","become hungry","kick something","","","","",""
"","","","","","html-button-response","13","2.0.0","47950","78A80DD289D442C09F8ED5FD1FE7D3A9","db863c62-7fe9-4d00-b44e-e41f656ac280","6ff407c9-ec46-4f43-bd76-d89747851545","","1791","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get sick</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>get tired</strong></p>","get sick","see something","get tired","","","","",""
"","","","","","html-button-response","14","2.0.0","50334","78A80DD289D442C09F8ED5FD1FE7D3A9","db863c62-7fe9-4d00-b44e-e41f656ac280","6ff407c9-ec46-4f43-bd76-d89747851545","","2384","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>kick something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>jump up and down</strong></p>","kick something","think about something","jump up and down","","","","",""
"","","","","","html-button-response","15","2.0.0","52638","78A80DD289D442C09F8ED5FD1FE7D3A9","db863c62-7fe9-4d00-b44e-e41f656ac280","6ff407c9-ec46-4f43-bd76-d89747851545","","2303","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>choose what to do</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>remember something</strong></p>","choose what to do","feel scared","remember something","","","","",""
