"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","itemB","causal_itemA","similarity_itemA","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","3","1A558DA549534EEE8E789D3D4A63CE18","a073f8b5-a220-4127-b388-43ebb4109a8c","6ff407c9-ec46-4f43-bd76-d89747851545","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","11375","1A558DA549534EEE8E789D3D4A63CE18","a073f8b5-a220-4127-b388-43ebb4109a8c","6ff407c9-ec46-4f43-bd76-d89747851545","consent","11371","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 4 minutes, your payment will amount to $1.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","21790","1A558DA549534EEE8E789D3D4A63CE18","a073f8b5-a220-4127-b388-43ebb4109a8c","6ff407c9-ec46-4f43-bd76-d89747851545","","10414","","","[{""page_index"":0,""viewing_time"":10414}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.0.0","26619","1A558DA549534EEE8E789D3D4A63CE18","a073f8b5-a220-4127-b388-43ebb4109a8c","6ff407c9-ec46-4f43-bd76-d89747851545","","4829","<p style=""font-size: 25px;"">For this question, please select ""The ability to <strong>choose what to do</strong>""</p>","0","","attention_check","choose what to do","The ability to choose what to do","","","","","","","",""
"","","","","","html-button-response","4","2.0.0","37844","1A558DA549534EEE8E789D3D4A63CE18","a073f8b5-a220-4127-b388-43ebb4109a8c","6ff407c9-ec46-4f43-bd76-d89747851545","","11224","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>think about something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>remember something</strong></p>","think about something","take a walk","remember something","","","","",""
"","","","","","html-button-response","5","2.0.0","42564","1A558DA549534EEE8E789D3D4A63CE18","a073f8b5-a220-4127-b388-43ebb4109a8c","6ff407c9-ec46-4f43-bd76-d89747851545","","4719","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>sit down</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>jump up and down</strong></p>","sit down","experience pain","jump up and down","","","","",""
"","","","","","html-button-response","6","2.0.0","46560","1A558DA549534EEE8E789D3D4A63CE18","a073f8b5-a220-4127-b388-43ebb4109a8c","6ff407c9-ec46-4f43-bd76-d89747851545","","3995","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>experience pain</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>feel scared</strong></p>","experience pain","kick something","feel scared","","","","",""
"","","","","","html-button-response","7","2.0.0","50079","1A558DA549534EEE8E789D3D4A63CE18","a073f8b5-a220-4127-b388-43ebb4109a8c","6ff407c9-ec46-4f43-bd76-d89747851545","","3518","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>remember something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>think about something</strong></p>","remember something","take a walk","think about something","","","","",""
"","","","","","html-button-response","8","2.0.0","53529","1A558DA549534EEE8E789D3D4A63CE18","a073f8b5-a220-4127-b388-43ebb4109a8c","6ff407c9-ec46-4f43-bd76-d89747851545","","3450","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get tired</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>jump up and down</strong></p>","get tired","jump up and down","feel scared","","","","",""
"","","","","","html-button-response","9","2.0.0","58409","1A558DA549534EEE8E789D3D4A63CE18","a073f8b5-a220-4127-b388-43ebb4109a8c","6ff407c9-ec46-4f43-bd76-d89747851545","","4879","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>become hungry</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>experience pain</strong></p>","become hungry","take a walk","experience pain","","","","",""
